Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800502003,1515,1224,291,190,0,30,1,1,13,2,1,140,21,1,16,35,0,3,18,1,33,0,0,7,3,0,0,10,0,5,1,5,0,12,10,0,0
2800502004,1427,1073,354,121,0,15,0,4,16,1,0,84,12,0,4,142,1,33,61,9,60,2,0,3,9,1,0,25,1,6,9,0,0,19,18,0,0
2800502005,1369,1026,343,184,0,15,1,5,3,3,1,153,4,2,0,106,0,28,33,20,31,2,0,0,8,0,1,9,0,1,7,0,2,18,13,0,0
2800502006,1804,1419,385,187,0,20,0,0,14,8,0,145,28,1,20,130,2,24,38,7,35,1,0,1,11,1,3,8,1,0,8,0,0,5,5,0,0
2800502007,1911,1496,415,195,1,13,1,2,17,2,1,157,6,0,3,147,0,31,65,17,55,0,7,0,11,0,1,11,1,7,11,0,1,12,11,0,0
2800502008,2415,1973,442,208,1,14,1,5,11,13,0,155,32,0,30,94,0,31,32,5,77,5,1,6,14,1,1,3,4,18,16,0,4,31,26,0,0
2800502009,774,578,196,102,0,0,0,2,6,6,0,84,9,0,4,44,0,11,13,2,31,4,0,0,6,3,0,3,5,7,0,0,0,10,10,0,0
2800502010,1443,1111,332,174,0,8,0,0,3,1,0,161,21,0,18,103,0,25,43,4,34,2,0,0,3,1,1,4,4,4,2,0,1,0,0,0,0
2800502011,1358,1153,205,68,1,21,0,0,9,1,0,36,35,1,27,74,1,20,21,1,19,0,0,0,5,0,0,4,1,3,4,0,0,9,8,0,0
2800502012,1164,998,166,69,0,8,0,0,1,0,0,60,23,1,21,59,0,15,26,4,14,0,0,0,2,2,1,4,0,1,2,1,0,1,0,0,0
2800502013,798,684,114,73,0,22,0,0,9,0,0,40,8,0,8,24,0,2,12,1,9,0,0,1,4,1,0,2,0,1,0,0,0,0,0,0,0
2800502014,1023,804,219,109,1,8,1,4,6,4,0,84,15,0,14,43,0,25,16,0,43,1,0,14,4,0,0,0,1,1,1,0,9,9,6,0,0
2800502015,817,745,72,21,0,1,0,0,0,0,0,20,1,0,1,28,0,8,2,8,19,0,3,3,5,0,0,5,0,1,0,0,0,3,3,0,0
2800502016,1366,1146,220,158,0,26,0,2,23,1,0,106,13,0,12,6,0,2,1,1,24,0,2,6,9,0,1,0,0,0,5,0,1,19,14,5,0
2800502017,1128,929,199,100,1,18,0,0,3,3,0,73,5,1,0,63,0,22,32,0,28,1,0,5,3,3,0,7,0,3,4,0,0,3,0,0,0
2800502018,1799,1509,290,199,1,29,4,2,13,3,0,145,10,0,9,14,0,6,5,0,43,9,1,2,3,2,0,2,3,9,4,2,4,24,21,0,0
2800502019,2150,1662,488,323,0,37,1,0,14,2,1,268,11,0,10,73,5,47,1,0,47,0,1,1,14,8,1,10,2,0,6,0,3,34,19,4,0
2800502020,1916,1497,419,343,0,71,0,1,63,1,0,206,21,1,20,9,0,0,0,2,31,0,1,3,7,2,0,3,0,3,3,0,6,14,12,0,1
2800502021,1663,1329,334,214,1,15,0,6,15,3,0,174,17,0,11,53,0,25,8,3,38,2,1,1,16,0,0,7,0,0,9,0,2,12,10,0,0
2800502022,1262,1013,249,141,0,16,0,3,19,1,3,97,11,0,9,61,0,19,19,3,21,0,0,2,2,1,0,2,0,7,4,3,0,15,14,0,0
2800502023,1106,862,244,163,0,8,0,0,17,0,0,136,7,4,1,45,0,19,8,3,20,0,1,0,9,0,0,6,0,2,2,0,0,9,8,0,0
