Estadística del Padrón Continuo,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,
Población por sexo, Sección y relación lugar de nacimiento y residencia.,,,,,,,,
Unidades: Personas,,,,,,,,,
,,,,,,,,,
CUSEC,Total,Nacidos en España,En la misma Comunidad Autónoma,Misma Comunidad Autónoma. Misma Provincia,Misma Comunidad Autónoma. Misma Provincia. Mismo Municipio,Misma Comunidad Autónoma. Misma Provincia. Distinto Municipio,Misma Comunidad Autónoma. Distinta Provincia,En distinta Comunidad Autónoma,Nacidos en el Extranjero
2800101001,62,60,51,51,26,25,0,9,2
2800201001,1826,1551,1134,1134,260,874,0,417,275
2800201002,2285,1725,1329,1329,329,1000,0,396,560
2800301001,246,226,188,188,61,127,0,38,20
2800401001,2625,2124,1494,1494,412,1082,0,630,501
2800401002,2772,2335,1783,1783,392,1391,0,552,437
2800401003,3078,2620,2038,2038,490,1548,0,582,458
2800501001,1571,1207,807,807,351,456,0,400,364
2800501002,999,764,482,482,234,248,0,282,235
2800501003,1928,1444,931,931,448,483,0,513,484
2800501004,1424,1151,696,696,360,336,0,455,273
2800501005,1237,971,599,599,311,288,0,372,266
2800501006,1400,1149,698,698,316,382,0,451,251
2800501007,1396,1153,618,618,260,358,0,535,243
2800501008,942,721,380,380,160,220,0,341,221
2800501009,1290,972,563,563,225,338,0,409,318
2800501010,1389,1133,589,589,238,351,0,544,256
2800501011,1536,1100,682,682,370,312,0,418,436
2800501012,1650,1170,678,678,300,378,0,492,480
2800501013,1045,766,450,450,194,256,0,316,279
2800501014,1344,1012,573,573,232,341,0,439,332
2800501015,2625,1812,1136,1136,531,605,0,676,813
2800501016,1333,855,536,536,231,305,0,319,478
2800501017,1179,731,392,392,170,222,0,339,448
2800501018,1436,877,529,529,280,249,0,348,559
2800501019,868,552,326,326,179,147,0,226,316
2800501020,1119,593,300,300,142,158,0,293,526
2800501021,1667,1280,649,649,236,413,0,631,387
2800501022,2098,1431,736,736,295,441,0,695,667
2800501023,1379,1092,653,653,268,385,0,439,287
2800501024,1408,1144,618,618,244,374,0,526,264
2800502001,1419,1061,612,612,320,292,0,449,358
2800502002,1252,949,526,526,201,325,0,423,303
2800502003,1629,1249,745,745,251,494,0,504,380
2800502004,1652,1023,576,576,244,332,0,447,629
2800502005,1432,980,544,544,219,325,0,436,452
2800502006,2067,1444,928,928,401,527,0,516,623
2800502007,2015,1382,846,846,362,484,0,536,633
2800502008,2107,1449,1067,1067,481,586,0,382,658
2800502009,911,610,330,330,120,210,0,280,301
2800502010,1566,1066,625,625,274,351,0,441,500
2800502011,1495,1221,896,896,367,529,0,325,274
2800502012,1360,1051,684,684,273,411,0,367,309
2800502013,896,743,460,460,191,269,0,283,153
2800502014,1080,821,501,501,215,286,0,320,259
2800502015,930,769,487,487,178,309,0,282,161
2800502016,1556,1208,795,795,314,481,0,413,348
2800502017,1353,949,690,690,268,422,0,259,404
2800502018,2012,1543,933,933,429,504,0,610,469
2800502019,2409,1755,1009,1009,424,585,0,746,654
2800502020,2106,1552,958,958,358,600,0,594,554
2800502021,1833,1295,816,816,334,482,0,479,538
2800502022,1493,1101,674,674,240,434,0,427,392
2800502023,1199,838,472,472,209,263,0,366,361
2800502024,1821,1384,886,886,472,414,0,498,437
2800502025,1643,1214,789,789,323,466,0,425,429
2800502026,1961,1399,810,810,331,479,0,589,562
2800502027,1753,1448,1000,1000,432,568,0,448,305
2800502028,1910,1701,1125,1125,537,588,0,576,209
2800502029,1435,1354,939,939,412,527,0,415,81
2800502030,1118,864,629,629,231,398,0,235,254
2800502031,2015,1895,1235,1235,591,644,0,660,120
2800502032,1568,1277,831,831,337,494,0,446,291
2800502033,1607,1247,864,864,341,523,0,383,360
2800502034,1790,1330,938,938,319,619,0,392,460
2800502035,1986,1527,1070,1070,376,694,0,457,459
2800502036,2096,1556,1041,1041,395,646,0,515,540
2800502037,1213,930,631,631,277,354,0,299,283
2800503001,1777,1249,758,758,345,413,0,491,528
2800503002,1372,953,491,491,205,286,0,462,419
2800503003,1496,848,449,449,227,222,0,399,648
2800503004,1679,1369,842,842,353,489,0,527,310
2800503005,1320,788,465,465,219,246,0,323,532
2800503006,1991,1405,803,803,327,476,0,602,586
2800503007,1077,777,413,413,183,230,0,364,300
2800503008,1448,1041,674,674,277,397,0,367,407
2800503009,899,634,401,401,227,174,0,233,265
2800503010,781,576,377,377,214,163,0,199,205
2800503011,1742,1300,669,669,234,435,0,631,442
2800503012,1581,1158,721,721,350,371,0,437,423
2800503013,2868,2399,1656,1656,554,1102,0,743,469
2800503014,2441,1976,1194,1194,446,748,0,782,465
2800503015,2192,2028,1410,1410,598,812,0,618,164
2800503016,2165,1869,1326,1326,372,954,0,543,296
2800503017,2013,1779,1305,1305,387,918,0,474,234
2800504001,2672,2218,1410,1410,445,965,0,808,454
2800504002,1591,1493,983,983,406,577,0,510,98
2800504003,1764,1597,1002,1002,492,510,0,595,167
2800504004,1444,1340,811,811,319,492,0,529,104
2800504005,1789,1612,1206,1206,552,654,0,406,177
2800504006,2064,1861,1424,1424,690,734,0,437,203
2800504007,2218,2030,1373,1373,545,828,0,657,188
2800504008,2186,2021,1419,1419,569,850,0,602,165
2800504009,1595,1396,1109,1109,458,651,0,287,199
2800504010,2416,2127,1478,1478,566,912,0,649,289
2800504011,2373,2147,1520,1520,586,934,0,627,226
2800504012,1821,1523,1212,1212,526,686,0,311,298
2800504013,1805,1728,1251,1251,505,746,0,477,77
2800504014,1913,1716,1177,1177,518,659,0,539,197
2800504015,1929,1699,1298,1298,517,781,0,401,230
2800504016,1677,1552,1095,1095,452,643,0,457,125
2800505001,1481,873,492,492,232,260,0,381,608
2800505002,1953,1372,710,710,260,450,0,662,581
2800505003,1861,1328,659,659,257,402,0,669,533
2800505004,1449,1099,592,592,236,356,0,507,350
2800505005,1414,1082,507,507,207,300,0,575,332
2800505006,991,798,431,431,178,253,0,367,193
2800505007,2068,1779,1007,1007,371,636,0,772,289
2800505008,1175,928,520,520,175,345,0,408,247
2800505009,1590,1219,781,781,322,459,0,438,371
2800505010,900,686,387,387,148,239,0,299,214
2800505011,1569,1126,643,643,259,384,0,483,443
2800505012,2147,1441,858,858,325,533,0,583,706
2800505013,1140,1065,641,641,217,424,0,424,75
2800505014,2466,1963,1234,1234,492,742,0,729,503
2800505015,1580,1411,796,796,297,499,0,615,169
2800505016,1034,939,486,486,135,351,0,453,95
2800505017,2156,1388,768,768,371,397,0,620,768
2800505018,1184,939,555,555,196,359,0,384,245
2800505019,796,615,284,284,108,176,0,331,181
2800505020,2043,1436,749,749,309,440,0,687,607
2800505021,2121,1624,905,905,377,528,0,719,497
2800505022,2070,1862,1139,1139,466,673,0,723,208
2800505023,1892,1468,837,837,315,522,0,631,424
2800505024,1850,1224,600,600,246,354,0,624,626
2800505025,1603,1012,557,557,252,305,0,455,591
2800505026,1744,1142,620,620,248,372,0,522,602
2800505027,1020,662,316,316,128,188,0,346,358
2800505028,1044,1024,451,451,81,370,0,573,20
2800505029,1944,1624,903,903,382,521,0,721,320
2800505030,651,623,252,252,49,203,0,371,28
2800505031,2700,2559,1565,1565,606,959,0,994,141
2800601001,1854,1303,819,819,164,655,0,484,551
2800601002,2436,1595,1053,1053,204,849,0,542,841
2800601003,1847,1147,782,782,186,596,0,365,700
2800601004,2532,1740,1187,1187,275,912,0,553,792
