Estadística del Padrón Continuo,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,
Población por sexo, Sección y relación lugar de nacimiento y residencia.,,,,,,,,
Unidades: Personas,,,,,,,,,
,,,,,,,,,
CUSEC,Total,Nacidos en España,En la misma Comunidad Autónoma,Misma Comunidad Autónoma. Misma Provincia,Misma Comunidad Autónoma. Misma Provincia. Mismo Municipio,Misma Comunidad Autónoma. Misma Provincia. Distinto Municipio,Misma Comunidad Autónoma. Distinta Provincia,En distinta Comunidad Autónoma,Nacidos en el Extranjero
2800504007,2420,2251,1558,1558,641,917,0,693,169
2800504008,2233,2094,1483,1483,622,861,0,611,139
2800504009,2206,1971,1579,1579,694,885,0,392,235
2800504010,2386,2176,1535,1535,643,892,0,641,210
2800504011,2495,2299,1667,1667,720,947,0,632,196
2800504012,1790,1470,1169,1169,540,629,0,301,320
2800504013,2067,1991,1456,1456,610,846,0,535,76
2800504014,1917,1785,1235,1235,580,655,0,550,132
2800504015,1224,1020,765,765,338,427,0,255,204
2800504016,1621,1542,1090,1090,479,611,0,452,79
2800504017,3519,3268,2644,2644,750,1894,0,624,251
2800505001,1250,818,488,488,250,238,0,330,432
2800505002,1752,1288,684,684,321,363,0,604,464
2800505003,1586,1235,646,646,279,367,0,589,351
2800505004,1305,1025,565,565,240,325,0,460,280
2800505005,1252,1003,486,486,223,263,0,517,249
2800505006,860,724,384,384,166,218,0,340,136
2800505007,1953,1725,982,982,411,571,0,743,228
2800505008,998,871,501,501,201,300,0,370,127
2800505009,1390,1099,715,715,341,374,0,384,291
2800505010,811,627,351,351,156,195,0,276,184
2800505011,1402,1085,655,655,280,375,0,430,317
2800505012,1861,1374,849,849,362,487,0,525,487
2800505013,1071,1007,608,608,233,375,0,399,64
2800505014,2259,1908,1221,1221,535,686,0,687,351
2800505015,1436,1342,743,743,289,454,0,599,94
2800505016,967,869,462,462,153,309,0,407,98
2800505017,1752,1229,688,688,333,355,0,541,523
2800505018,1048,852,503,503,198,305,0,349,196
2800505019,769,598,287,287,134,153,0,311,171
2800505020,1735,1286,673,673,313,360,0,613,449
2800505021,1939,1564,902,902,432,470,0,662,375
2800505022,1976,1823,1133,1133,497,636,0,690,153
2800505023,1765,1420,795,795,355,440,0,625,345
2800505024,1621,1122,579,579,272,307,0,543,499
2800505025,1440,995,566,566,273,293,0,429,445
2800505026,1573,1105,615,615,290,325,0,490,468
2800505027,824,582,291,291,137,154,0,291,242
2800505028,1091,1017,470,470,114,356,0,547,74
2800505029,1841,1581,888,888,415,473,0,693,260
2800505030,704,651,262,262,58,204,0,389,53
2800505031,770,724,463,463,223,240,0,261,46
2800505032,1796,1693,1050,1050,379,671,0,643,103
2800601001,1757,1213,783,783,184,599,0,430,544
2800601002,2530,1558,1074,1074,282,792,0,484,972
2800601003,1877,1103,765,765,213,552,0,338,774
2800601004,2594,1628,1123,1123,308,815,0,505,966
2800601005,859,568,388,388,83,305,0,180,291
2800601006,1495,1012,637,637,145,492,0,375,483
2800601007,1832,1215,787,787,154,633,0,428,617
2800601008,1937,1201,799,799,222,577,0,402,736
2800601009,2580,1676,1120,1120,314,806,0,556,904
2800601011,784,521,348,348,80,268,0,173,263
2800601012,1156,841,541,541,115,426,0,300,315
2800601013,1693,1334,817,817,171,646,0,517,359
2800601014,1718,1216,768,768,159,609,0,448,502
2800601015,1981,1504,995,995,198,797,0,509,477
2800601016,1550,1021,680,680,193,487,0,341,529
2800601017,1175,732,445,445,94,351,0,287,443
2800601018,1825,1271,822,822,201,621,0,449,554
2800601019,723,503,321,321,82,239,0,182,220
2800601020,924,670,401,401,73,328,0,269,254
2800601021,1624,1237,756,756,135,621,0,481,387
2800601022,1559,1169,724,724,129,595,0,445,390
2800601023,2033,1550,952,952,185,767,0,598,483
2800601024,1223,912,564,564,123,441,0,348,311
2800601025,1683,1386,871,871,112,759,0,515,297
2800601026,1076,947,616,616,109,507,0,331,129
2800601027,2376,1915,1191,1191,178,1013,0,724,461
2800601028,1680,1508,936,936,134,802,0,572,172
2800601029,1285,1091,723,723,114,609,0,368,194
2800601030,2166,1950,1231,1231,151,1080,0,719,216
2800601031,1679,1448,962,962,136,826,0,486,231
2800601032,2137,1849,1176,1176,223,953,0,673,288
2800601033,2240,1739,1198,1198,35,1163,0,541,501
2800601034,1366,1082,773,773,34,739,0,309,284
2800601035,929,605,427,427,14,413,0,178,324
2800601036,2171,1448,1004,1004,27,977,0,444,723
2800601037,3576,2899,2041,2041,177,1864,0,858,677
2800601038,1659,1404,992,992,172,820,0,412,255
2800601039,2834,2319,1676,1676,76,1600,0,643,515
2800601040,2020,1424,957,957,43,914,0,467,596
2800601041,2294,1726,1195,1195,51,1144,0,531,568
2800601042,1438,1030,670,670,144,526,0,360,408
2800601043,1188,727,464,464,120,344,0,263,461
2800601044,1866,1646,1127,1127,179,948,0,519,220
2800601045,1678,1498,987,987,163,824,0,511,180
2800601046,893,684,403,403,71,332,0,281,209
2800601047,1016,914,619,619,87,532,0,295,102
2800601048,2268,1823,1261,1261,45,1216,0,562,445
2800601049,1684,1539,1056,1056,126,930,0,483,145
2800601050,1790,1668,1211,1211,152,1059,0,457,122
2800601051,2289,2121,1622,1622,336,1286,0,499,168
2800601052,1382,1313,948,948,140,808,0,365,69
2800601053,2264,2139,1549,1549,210,1339,0,590,125
2800601054,2090,1775,1408,1408,324,1084,0,367,315
2800601055,2269,2102,1718,1718,427,1291,0,384,167
2800601056,1826,1588,1246,1246,303,943,0,342,238
2800601057,1997,1829,1283,1283,240,1043,0,546,168
2800601058,1459,1368,1057,1057,236,821,0,311,91
2800601059,3153,2482,1816,1816,110,1706,0,666,671
2800601060,1060,881,590,590,39,551,0,291,179
2800601061,1077,883,722,722,168,554,0,161,194
2800601062,1733,1633,1398,1398,331,1067,0,235,100
2800601063,2003,1796,1443,1443,250,1193,0,353,207
2800601064,1946,1822,1538,1538,320,1218,0,284,124
2800601065,1524,1448,970,970,193,777,0,478,76
2800601066,2371,2205,1650,1650,322,1328,0,555,166
2800701001,1252,1101,647,647,166,481,0,454,151
2800701002,1938,1429,921,921,262,659,0,508,509
2800701003,1399,1147,623,623,142,481,0,524,252
2800701004,1371,999,628,628,158,470,0,371,372
2800701005,1597,1294,778,778,224,554,0,516,303
2800701006,925,670,421,421,116,305,0,249,255
2800701007,1476,1035,695,695,237,458,0,340,441
2800701008,1957,1483,837,837,260,577,0,646,474
2800701010,1539,1122,688,688,198,490,0,434,417
2800701011,1474,1048,552,552,170,382,0,496,426
2800701012,1380,978,587,587,169,418,0,391,402
2800701013,1113,828,470,470,142,328,0,358,285
2800701014,943,700,404,404,106,298,0,296,243
2800701015,1130,944,629,629,79,550,0,315,186
2800701016,3055,2534,1918,1918,545,1373,0,616,521
2800701017,2095,1997,1594,1594,433,1161,0,403,98
2800701018,1399,1301,1055,1055,238,817,0,246,98
2800701019,1807,1604,1265,1265,368,897,0,339,203
2800701020,2799,2568,2129,2129,505,1624,0,439,231
2800702001,1045,863,522,522,100,422,0,341,182
2800702002,774,659,396,396,67,329,0,263,115
2800702003,1371,1170,716,716,137,579,0,454,201
2800702004,1065,934,564,564,98,466,0,370,131
2800702005,1246,1072,661,661,105,556,0,411,174
2800702006,1503,1328,849,849,144,705,0,479,175
2800702007,694,625,417,417,74,343,0,208,69
2800702008,689,635,396,396,55,341,0,239,54
2800702009,1212,1051,647,647,116,531,0,404,161
2800702010,912,806,524,524,86,438,0,282,106
2800702011,1186,1019,583,583,111,472,0,436,167
2800702012,1117,902,618,618,131,487,0,284,215
2800702013,1253,1083,751,751,148,603,0,332,170
2800702014,1442,1210,780,780,136,644,0,430,232
2800702015,1776,1603,1063,1063,245,818,0,540,173
2800702016,2119,1950,1324,1324,315,1009,0,626,169
2800702017,1306,1196,760,760,126,634,0,436,110
2800702019,1690,1606,1249,1249,384,865,0,357,84
2800702020,1309,1226,791,791,151,640,0,435,83
2800702021,1682,1596,1019,1019,160,859,0,577,86
2800702022,1631,1430,898,898,171,727,0,532,201
2800702023,756,659,363,363,61,302,0,296,97
2800702024,882,782,504,504,83,421,0,278,100
2800702025,853,764,470,470,64,406,0,294,89
2800702026,648,569,363,363,58,305,0,206,79
2800702027,1144,1002,598,598,120,478,0,404,142
2800702028,1347,1218,791,791,183,608,0,427,129
2800702029,1246,1120,709,709,132,577,0,411,126
2800702030,1143,1067,807,807,199,608,0,260,76
2800702031,1659,1564,1164,1164,276,888,0,400,95
2800702032,1652,1567,1251,1251,334,917,0,316,85
2800702033,1980,1828,1443,1443,468,975,0,385,152
2800702034,2718,2598,2131,2131,573,1558,0,467,120
2800702035,2252,2136,1725,1725,515,1210,0,411,116
2800702036,850,776,544,544,138,406,0,232,74
2800702037,1264,1197,894,894,187,707,0,303,67
2800702038,1945,1855,1561,1561,426,1135,0,294,90
2800703001,1856,1498,925,925,227,698,0,573,358
2800703002,1105,838,440,440,105,335,0,398,267
2800703003,822,704,374,374,81,293,0,330,118
2800703004,1216,976,576,576,150,426,0,400,240
2800703005,1359,1142,629,629,125,504,0,513,217
2800703006,901,696,409,409,112,297,0,287,205
2800703007,926,724,445,445,105,340,0,279,202
2800703008,920,697,419,419,110,309,0,278,223
2800703009,1243,1082,641,641,145,496,0,441,161
2800703010,1387,1047,621,621,159,462,0,426,340
2800703011,808,730,362,362,66,296,0,368,78
2800703012,1733,1580,865,865,165,700,0,715,153
2800703013,1384,1260,795,795,179,616,0,465,124
2800703014,1346,1227,741,741,170,571,0,486,119
2800703015,1240,1129,675,675,141,534,0,454,111
2800703016,1220,1098,659,659,153,506,0,439,122
2800703017,1267,1106,647,647,142,505,0,459,161
2800703018,1381,1241,728,728,136,592,0,513,140
2800703019,1621,1415,869,869,177,692,0,546,206
2800703020,1120,1011,601,601,121,480,0,410,109
2800703021,1303,1125,711,711,153,558,0,414,178
2800703022,833,782,474,474,76,398,0,308,51
2800703023,797,709,384,384,81,303,0,325,88
2800703024,1154,1007,642,642,127,515,0,365,147
2800703025,1109,920,473,473,99,374,0,447,189
2800703026,888,758,418,418,107,311,0,340,130
2800703027,760,708,380,380,82,298,0,328,52
2800703028,614,543,271,271,59,212,0,272,71
2800703029,955,767,458,458,114,344,0,309,188
2800704001,924,634,350,350,121,229,0,284,290
2800704002,1086,709,427,427,156,271,0,282,377
2800704003,1368,880,511,511,161,350,0,369,488
2800704004,1443,1011,611,611,217,394,0,400,432
2800704005,1160,790,454,454,157,297,0,336,370
2800704006,882,777,414,414,108,306,0,363,105
2800704007,1765,1604,849,849,204,645,0,755,161
2800704008,1672,1492,815,815,181,634,0,677,180
2800704009,1608,1201,613,613,192,421,0,588,407
2800704010,815,618,349,349,103,246,0,269,197
2800704011,1376,1029,588,588,181,407,0,441,347
2800704012,1076,815,417,417,127,290,0,398,261
2800704013,1331,1022,586,586,154,432,0,436,309
2800704014,1000,826,490,490,134,356,0,336,174
2800704015,1581,1406,816,816,180,636,0,590,175
2800704016,1246,1081,556,556,135,421,0,525,165
2800704017,1108,914,512,512,152,360,0,402,194
2800704018,1555,1440,851,851,209,642,0,589,115
2800704019,987,909,447,447,89,358,0,462,78
2800704020,1707,1588,997,997,257,740,0,591,119
2800704021,1281,998,627,627,170,457,0,371,283
2800704022,1125,1007,569,569,133,436,0,438,118
2800704023,2155,2058,1362,1362,311,1051,0,696,97
2800704024,1593,1533,1120,1120,303,817,0,413,60
2800704025,2434,2324,1806,1806,560,1246,0,518,110
2800704026,2141,2038,1606,1606,506,1100,0,432,103
2800704027,2859,2716,2238,2238,770,1468,0,478,143
2800704028,2639,2539,1945,1945,550,1395,0,594,100
2800704029,1001,966,618,618,101,517,0,348,35
2800704030,2181,1986,1705,1705,420,1285,0,281,195
2800704031,1611,1492,1272,1272,289,983,0,220,119
2800704032,1837,1704,1477,1477,343,1134,0,227,133
2800704033,2129,2011,1719,1719,372,1347,0,292,118
2800704034,2091,1946,1656,1656,347,1309,0,290,145
2800704035,2096,1817,1559,1559,365,1194,0,258,279
2800801001,2616,2153,1615,1615,374,1241,0,538,463
2800901001,2986,2333,1711,1711,42,1669,0,622,653
2800901002,2782,2388,1857,1857,234,1623,0,531,394
2800901003,1945,1587,1212,1212,282,930,0,375,358
2800901004,1722,1417,1080,1080,213,867,0,337,305
2800901005,2304,1970,1437,1437,175,1262,0,533,334
2800901006,1497,1247,971,971,195,776,0,276,250
2800901007,2048,1797,1358,1358,159,1199,0,439,251
2800901008,2930,2549,1942,1942,147,1795,0,607,381
2800901009,2205,1942,1453,1453,175,1278,0,489,263
2801001001,2499,2176,1697,1697,304,1393,0,479,323
2801001002,2293,1920,1449,1449,286,1163,0,471,373
2801001003,2282,2039,1608,1608,168,1440,0,431,243
2801001004,2778,2478,1956,1956,332,1624,0,522,300
2801001005,3077,2769,2143,2143,253,1890,0,626,308
2801001006,1311,1163,908,908,155,753,0,255,148
2801101001,677,484,391,391,88,303,0,93,193
2801201001,1238,1121,936,936,348,588,0,185,117
2801301001,1514,1136,843,843,450,393,0,293,378
2801301002,2204,1905,1338,1338,674,664,0,567,299
2801301003,1842,1595,1060,1060,532,528,0,535,247
2801301004,1141,845,616,616,351,265,0,229,296
2801301005,1459,1066,860,860,546,314,0,206,393
2801301006,1025,767,574,574,338,236,0,193,258
2801301007,1206,1089,829,829,451,378,0,260,117
2801301008,2139,2037,1621,1621,767,854,0,416,102
2801301009,1641,1466,1082,1082,630,452,0,384,175
2801302001,1247,990,703,703,344,359,0,287,257
2801302002,2066,1775,1253,1253,650,603,0,522,291
2801302003,2601,1962,1438,1438,800,638,0,524,639
2801302004,1365,1235,930,930,524,406,0,305,130
2801302005,2318,1848,1451,1451,853,598,0,397,470
2801302006,2031,1614,1208,1208,682,526,0,406,417
2801302007,2744,2500,1960,1960,1051,909,0,540,244
2801302008,2073,1775,1318,1318,747,571,0,457,298
2801303001,1119,891,640,640,322,318,0,251,228
2801303002,2511,2095,1536,1536,820,716,0,559,416
2801303003,2461,2078,1482,1482,815,667,0,596,383
2801303004,1495,1310,933,933,554,379,0,377,185
2801303005,1787,1537,1158,1158,655,503,0,379,250
2801303006,1713,1439,1074,1074,553,521,0,365,274
2801303007,1671,1541,1280,1280,746,534,0,261,130
2801303008,1506,1407,1022,1022,530,492,0,385,99
2801303009,1228,1159,910,910,483,427,0,249,69
2801303010,2312,2148,1736,1736,966,770,0,412,164
2801304001,939,784,580,580,297,283,0,204,155
2801304002,1403,1235,945,945,544,401,0,290,168
2801304003,1484,1291,949,949,448,501,0,342,193
2801304004,2771,2412,1837,1837,648,1189,0,575,359
2801304005,3197,2588,1978,1978,729,1249,0,610,609
2801401001,1493,977,701,701,218,483,0,276,516
2801401002,2034,1384,945,945,322,623,0,439,650
2801401003,1757,1114,748,748,245,503,0,366,643
2801401004,1785,1272,887,887,250,637,0,385,513
2801401005,2396,1413,1115,1115,475,640,0,298,983
2801401006,823,591,403,403,139,264,0,188,232
2801401007,1613,1120,856,856,377,479,0,264,493
2801401008,1426,1149,938,938,408,530,0,211,277
2801401009,2357,1653,1352,1352,616,736,0,301,704
2801401010,2427,1969,1532,1532,489,1043,0,437,458
2801401011,2010,1737,1259,1259,293,966,0,478,273
2801401012,2394,1674,1226,1226,341,885,0,448,720
2801401013,3115,2166,1746,1746,454,1292,0,420,949
2801401014,1449,1239,937,937,129,808,0,302,210
2801401015,1795,1458,1077,1077,205,872,0,381,337
2801401016,1427,844,602,602,188,414,0,242,583
2801401017,2518,2123,1747,1747,629,1118,0,376,395
2801401018,1625,1190,919,919,357,562,0,271,435
2801401019,1910,1569,1184,1184,209,975,0,385,341
2801401020,2166,1940,1495,1495,380,1115,0,445,226
2801401021,2551,2360,1867,1867,529,1338,0,493,191
2801401022,2602,2146,1796,1796,566,1230,0,350,456
2801401023,1807,1534,1254,1254,359,895,0,280,273
2801401024,2507,2257,1879,1879,535,1344,0,378,250
2801401025,2865,2558,2110,2110,720,1390,0,448,307
2801401026,2969,2510,2117,2117,515,1602,0,393,459
2801501001,997,857,632,632,93,539,0,225,140
2801501002,1993,1742,1345,1345,178,1167,0,397,251
2801501003,1804,1580,1135,1135,111,1024,0,445,224
2801501004,1969,1805,1425,1425,206,1219,0,380,164
2801501005,1821,1679,1357,1357,169,1188,0,322,142
2801501006,2100,1953,1644,1644,234,1410,0,309,147
2801501007,2432,2214,1849,1849,233,1616,0,365,218
2801501008,3178,2918,2431,2431,381,2050,0,487,260
2801501009,2588,2314,1952,1952,275,1677,0,362,274
2801501010,2356,2158,1803,1803,208,1595,0,355,198
2801501011,3002,2791,2399,2399,336,2063,0,392,211
2801501012,1867,1702,1433,1433,201,1232,0,269,165
2801501013,1661,1240,1041,1041,64,977,0,199,421
2801501014,1360,1231,1015,1015,107,908,0,216,129
2801601001,97,92,86,86,48,38,0,6,5
2801701001,1610,1456,1104,1104,112,992,0,352,154
2801801001,2735,2303,1811,1811,434,1377,0,492,432
2801801002,2722,2394,1905,1905,308,1597,0,489,328
2801901001,1628,1498,1381,1381,547,834,0,117,130
2802001001,203,177,143,143,22,121,0,34,26
2802101001,743,663,520,520,126,394,0,143,80
2802201001,1928,1355,972,972,219,753,0,383,573
2802201002,786,670,450,450,36,414,0,220,116
2802201003,2441,2115,1597,1597,154,1443,0,518,326
2802201004,2143,1760,1286,1286,120,1166,0,474,383
2802201005,1368,1235,852,852,79,773,0,383,133
2802201006,1714,1455,1060,1060,147,913,0,395,259
2802201007,1923,1712,1373,1373,162,1211,0,339,211
2802201008,1222,911,639,639,111,528,0,272,311
2802201009,1107,990,691,691,65,626,0,299,117
2802201010,2467,2143,1636,1636,207,1429,0,507,324
2802201011,1562,1389,1034,1034,133,901,0,355,173
2802201012,2277,2062,1594,1594,365,1229,0,468,215
2802201013,3016,2745,2123,2123,404,1719,0,622,271
2802201014,1841,1709,1323,1323,280,1043,0,386,132
2802201015,2370,2163,1725,1725,379,1346,0,438,207
2802201016,2023,1882,1515,1515,337,1178,0,367,141
2802201017,2143,1911,1448,1448,270,1178,0,463,232
2802201018,3252,2979,2353,2353,471,1882,0,626,273
2802201019,2265,1985,1421,1421,244,1177,0,564,280
2802201020,2551,2310,1800,1800,368,1432,0,510,241
2802201021,1996,1848,1474,1474,281,1193,0,374,148
2802201022,1594,1418,1072,1072,135,937,0,346,176
2802201023,3223,2939,2347,2347,399,1948,0,592,284
2802201024,1773,1629,1281,1281,270,1011,0,348,144
2802201025,2478,2244,1824,1824,349,1475,0,420,234
2802301001,2316,2001,1654,1654,371,1283,0,347,315
2802301002,3216,2752,2222,2222,406,1816,0,530,464
2802301003,1826,1575,1242,1242,204,1038,0,333,251
2802401001,208,183,170,170,56,114,0,13,25
2802501001,539,471,413,413,200,213,0,58,68
2802601001,1803,1272,1038,1038,235,803,0,234,531
2802601002,1880,1435,1104,1104,198,906,0,331,445
2802601003,1558,1388,1069,1069,134,935,0,319,170
2802601004,2297,1892,1506,1506,182,1324,0,386,405
2802601005,2835,2176,1612,1612,271,1341,0,564,659
2802701001,1854,1446,1094,1094,308,786,0,352,408
2802801001,2399,2105,1797,1797,493,1304,0,308,294
2802901001,712,651,537,537,133,404,0,114,61
2803001001,2570,2048,1572,1572,342,1230,0,476,522
2803101001,3053,2548,2150,2150,1020,1130,0,398,505
2803201001,2824,2404,1966,1966,421,1545,0,438,420
2803201002,2053,1797,1357,1357,324,1033,0,440,256
2803201003,2207,2012,1439,1439,206,1233,0,573,195
2803301001,1877,1515,1193,1193,266,927,0,322,362
2803301002,2454,2046,1734,1734,514,1220,0,312,408
2803301003,1664,1385,1201,1201,347,854,0,184,279
2803401001,448,399,361,361,156,205,0,38,49
2803501001,1940,1632,1420,1420,477,943,0,212,308
2803601001,1933,1750,1356,1356,264,1092,0,394,183
2803601002,1717,1600,1315,1315,145,1170,0,285,117
2803701001,1082,981,882,882,550,332,0,99,101
2803701002,902,820,726,726,458,268,0,94,82
2803801001,2871,2440,1982,1982,783,1199,0,458,431
2803801002,1537,1316,1008,1008,315,693,0,308,221
2803801003,2445,2200,1755,1755,417,1338,0,445,245
2803901001,156,140,127,127,66,61,0,13,16
2804001001,1616,1430,970,970,156,814,0,460,186
2804001002,1444,1090,884,884,302,582,0,206,354
2804001003,1583,1269,1003,1003,273,730,0,266,314
2804002001,2495,2120,1682,1682,589,1093,0,438,375
2804002002,1446,1118,924,924,336,588,0,194,328
2804002003,2842,2162,1721,1721,616,1105,0,441,680
2804002004,2781,2341,1916,1916,453,1463,0,425,440
2804002005,2566,2191,1649,1649,455,1194,0,542,375
2804002006,2241,1979,1607,1607,419,1188,0,372,262
2804003001,2323,1693,1355,1355,386,969,0,338,630
2804003002,2400,1934,1527,1527,446,1081,0,407,466
2804101001,1985,1601,1243,1243,253,990,0,358,384
2804101002,2694,2317,1697,1697,211,1486,0,620,377
2804101003,2484,2126,1666,1666,286,1380,0,460,358
2804201001,1632,1335,993,993,255,738,0,342,297
2804301001,1177,1104,1050,1050,611,439,0,54,73
2804301002,2095,1949,1853,1853,1021,832,0,96,146
2804302001,1455,1330,1237,1237,639,598,0,93,125
2804302002,1395,1283,1113,1113,455,658,0,170,112
2804302003,1688,1457,1079,1079,83,996,0,378,231
2804401001,1909,1454,1157,1157,268,889,0,297,455
2804401002,3182,2665,2098,2098,385,1713,0,567,517
2804401003,2275,1868,1482,1482,288,1194,0,386,407
2804401004,1649,1508,1159,1159,213,946,0,349,141
2804501001,2421,1980,1506,1506,551,955,0,474,441
2804501002,2275,1848,1447,1447,556,891,0,401,427
2804501003,1740,1280,994,994,460,534,0,286,460
2804501004,2171,1691,1261,1261,513,748,0,430,480
2804501005,1299,1112,867,867,378,489,0,245,187
2804501006,2308,1791,1454,1454,647,807,0,337,517
2804501007,2069,1387,1094,1094,541,553,0,293,682
2804501008,2445,2131,1572,1572,567,1005,0,559,314
2804501009,1460,1122,894,894,437,457,0,228,338
2804501010,1862,1292,991,991,401,590,0,301,570
2804501011,1230,1119,804,804,219,585,0,315,111
2804501012,2435,2129,1561,1561,382,1179,0,568,306
2804501013,2888,2585,1911,1911,553,1358,0,674,303
2804501014,1731,1254,959,959,476,483,0,295,477
2804501015,1601,1229,965,965,381,584,0,264,372
2804501016,2504,1730,1160,1160,292,868,0,570,774
2804501017,2448,2013,1487,1487,469,1018,0,526,435
2804501018,1705,1581,1205,1205,391,814,0,376,124
2804501019,1320,1199,850,850,208,642,0,349,121
2804501020,2096,1950,1499,1499,526,973,0,451,146
2804501021,2686,2527,1890,1890,327,1563,0,637,159
2804501022,1088,1001,735,735,203,532,0,266,87
2804501023,2260,2006,1555,1555,370,1185,0,451,254
2804501024,2572,2311,1857,1857,473,1384,0,454,261
2804601001,1565,1327,1057,1057,195,862,0,270,238
