Estadística del Padrón Continuo,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,
Población por sexo, Sección y relación lugar de nacimiento y residencia.,,,,,,,,
Unidades: Personas,,,,,,,,,
,,,,,,,,,
CUSEC,Total,Nacidos en España,En la misma Comunidad Autónoma,Misma Comunidad Autónoma. Misma Provincia,Misma Comunidad Autónoma. Misma Provincia. Mismo Municipio,Misma Comunidad Autónoma. Misma Provincia. Distinto Municipio,Misma Comunidad Autónoma. Distinta Provincia,En distinta Comunidad Autónoma,Nacidos en el Extranjero
2800101001,66,64,56,56,24,32,0,8,2
2800201001,2127,1809,1292,1292,312,980,0,517,318
2800201002,2328,1890,1479,1479,363,1116,0,411,438
2800301001,199,190,165,165,51,114,0,25,9
2800401001,2809,2343,1704,1704,458,1246,0,639,466
2800401002,2942,2508,1947,1947,444,1503,0,561,434
2800401003,1961,1636,1335,1335,386,949,0,301,325
2800401004,1437,1257,953,953,191,762,0,304,180
2800501001,1603,1276,871,871,380,491,0,405,327
2800501002,999,808,539,539,267,272,0,269,191
2800501003,1795,1432,925,925,450,475,0,507,363
2800501004,1358,1090,694,694,353,341,0,396,268
2800501005,1304,1060,686,686,325,361,0,374,244
2800501006,1289,1126,700,700,340,360,0,426,163
2800501007,1265,1089,598,598,296,302,0,491,176
2800501008,777,648,351,351,151,200,0,297,129
2800501009,1131,932,562,562,242,320,0,370,199
2800501010,941,775,468,468,221,247,0,307,166
2800501011,1415,1086,690,690,380,310,0,396,329
2800501012,1912,1528,852,852,392,460,0,676,384
2800501013,975,736,444,444,198,246,0,292,239
2800501014,1286,1016,573,573,239,334,0,443,270
2800501015,2374,1730,1103,1103,535,568,0,627,644
2800501016,1163,859,533,533,245,288,0,326,304
2800501017,1072,679,374,374,182,192,0,305,393
2800501018,1287,828,514,514,275,239,0,314,459
2800501020,1656,1038,611,611,323,288,0,427,618
2800501021,1489,1191,602,602,237,365,0,589,298
2800501022,1874,1320,728,728,308,420,0,592,554
2800501023,1281,1014,609,609,274,335,0,405,267
2800501024,1344,1148,644,644,289,355,0,504,196
2800502001,1328,1042,624,624,317,307,0,418,286
2800502002,1082,896,507,507,216,291,0,389,186
2800502003,1515,1218,730,730,297,433,0,488,297
2800502004,1427,1028,632,632,318,314,0,396,399
2800502005,1369,993,605,605,284,321,0,388,376
2800502006,1804,1369,907,907,423,484,0,462,435
2800502007,1911,1406,898,898,431,467,0,508,505
2800502008,2415,1846,1377,1377,592,785,0,469,569
2800502009,774,555,316,316,144,172,0,239,219
2800502010,1443,1064,665,665,316,349,0,399,379
2800502011,1358,1133,861,861,399,462,0,272,225
2800502012,1164,981,676,676,317,359,0,305,183
2800502013,798,671,423,423,194,229,0,248,127
2800502014,1023,799,516,516,231,285,0,283,224
2800502015,817,699,433,433,169,264,0,266,118
2800502016,1366,1122,756,756,325,431,0,366,244
2800502017,1128,865,634,634,272,362,0,231,263
2800502018,1799,1462,888,888,440,448,0,574,337
2800502019,2150,1645,955,955,457,498,0,690,505
2800502020,1916,1492,951,951,413,538,0,541,424
2800502021,1663,1273,846,846,389,457,0,427,390
2800502022,1262,995,621,621,271,350,0,374,267
2800502023,1106,832,497,497,245,252,0,335,274
2800502024,1663,1307,866,866,486,380,0,441,356
2800502025,1496,1162,763,763,359,404,0,399,334
2800502026,1773,1368,818,818,378,440,0,550,405
2800502027,1660,1383,989,989,476,513,0,394,277
2800502028,1808,1682,1113,1113,562,551,0,569,126
2800502029,1417,1352,932,932,443,489,0,420,65
2800502030,1054,862,625,625,249,376,0,237,192
2800502031,1797,1693,1094,1094,547,547,0,599,104
2800502032,1406,1146,753,753,324,429,0,393,260
2800502033,1430,1185,842,842,365,477,0,343,245
2800502034,1554,1275,904,904,366,538,0,371,279
2800502035,1823,1503,1069,1069,430,639,0,434,320
2800502036,1835,1547,1042,1042,449,593,0,505,288
2800502037,1059,890,616,616,293,323,0,274,169
2800503001,1607,1217,744,744,368,376,0,473,390
2800503002,1223,916,507,507,247,260,0,409,307
2800503003,1329,799,462,462,256,206,0,337,530
2800503004,1512,1240,795,795,374,421,0,445,272
2800503005,1107,747,456,456,246,210,0,291,360
2800503006,1757,1356,807,807,346,461,0,549,401
2800503007,2267,1830,1142,1142,517,625,0,688,437
2800503008,1253,962,634,634,288,346,0,328,291
2800503009,1487,1092,742,742,448,294,0,350,395
2800503011,1533,1205,657,657,263,394,0,548,328
2800503012,1423,1116,727,727,398,329,0,389,307
2800503013,1591,1464,1060,1060,344,716,0,404,127
2800503014,2890,2370,1560,1560,630,930,0,810,520
2800503015,2427,2274,1635,1635,750,885,0,639,153
2800503016,2293,2058,1478,1478,466,1012,0,580,235
2800503017,2153,1983,1487,1487,493,994,0,496,170
2800504001,3004,2468,1652,1652,590,1062,0,816,536
2800504002,1635,1532,1011,1011,445,566,0,521,103
2800504003,1848,1720,1112,1112,540,572,0,608,128
2800504004,1402,1332,809,809,332,477,0,523,70
2800504005,1854,1645,1254,1254,619,635,0,391,209
2800504006,2057,1865,1439,1439,729,710,0,426,192
