Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800101001,66,65,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800201001,2134,1867,267,154,11,7,6,9,6,13,12,86,11,1,9,18,0,12,0,0,79,6,4,3,7,8,3,11,1,3,4,1,2,5,5,0,0
2800201002,2306,1937,369,217,1,2,2,10,8,0,1,192,3,2,1,62,0,52,1,0,74,2,0,3,13,16,2,5,0,14,6,0,5,13,11,0,0
2800301001,208,203,5,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800401001,2781,2416,365,87,1,0,2,7,5,1,1,70,1,0,1,168,1,165,0,0,89,6,0,7,32,4,3,14,3,5,0,0,7,20,8,11,0
2800401002,2873,2542,331,114,0,4,0,5,9,7,1,84,11,0,5,122,0,120,0,0,83,5,6,0,20,18,3,1,1,2,14,4,4,1,0,0,0
2800401003,1942,1616,326,93,0,3,0,9,0,2,0,78,11,0,5,147,0,147,0,0,59,2,0,3,8,14,3,5,3,1,4,0,5,16,12,1,0
2800401004,1421,1279,142,45,1,0,0,0,3,2,1,38,4,2,0,71,0,69,0,0,21,3,0,0,3,4,0,5,0,1,0,0,2,1,1,0,0
2800501001,1594,1324,270,136,4,6,4,3,15,2,6,88,7,0,4,16,0,5,1,1,54,3,0,3,2,2,4,2,2,6,5,0,5,57,51,0,0
2800501002,996,825,171,89,1,12,0,7,7,1,1,59,17,1,14,12,0,1,0,2,30,0,0,5,3,4,0,3,0,2,1,1,2,23,15,0,0
2800501003,1768,1476,292,169,1,21,3,10,8,2,5,113,17,2,14,23,4,11,4,1,50,3,1,1,9,3,0,2,0,7,2,1,6,33,26,1,0
2800501004,1372,1132,240,135,0,1,1,2,3,1,0,127,11,0,6,20,0,3,4,0,44,2,1,3,5,5,6,6,0,3,7,0,2,30,27,0,0
2800501005,1285,1086,199,102,1,2,5,11,4,0,5,68,9,0,7,14,0,7,3,0,24,2,0,4,2,1,0,4,1,1,0,0,0,50,43,0,0
2800501006,1310,1158,152,99,3,17,1,4,5,1,1,66,3,1,0,7,0,5,0,0,25,0,0,5,4,1,0,2,2,0,6,0,1,18,15,0,0
2800501007,1254,1109,145,84,0,3,0,4,7,3,0,65,8,0,7,19,1,2,14,0,32,0,0,5,4,0,1,2,0,6,8,0,3,2,2,0,0
2800501008,783,661,122,100,1,7,0,3,8,0,1,80,0,0,0,4,0,4,0,0,18,3,0,0,4,1,2,6,0,0,2,0,0,0,0,0,0
2800501009,1127,949,178,114,0,18,0,2,10,1,0,82,25,0,25,14,0,2,3,7,15,0,0,7,1,0,0,0,1,1,3,0,2,9,9,0,1
2800501010,975,811,164,111,0,13,0,2,6,3,1,84,1,0,0,8,0,7,0,0,31,6,0,8,0,1,7,1,0,0,2,1,4,13,12,0,0
2800501011,1440,1131,309,194,0,36,2,7,10,1,2,135,14,0,14,25,2,13,6,1,47,0,0,9,11,4,6,0,0,0,11,0,4,29,28,1,0
2800501012,1935,1543,392,288,1,14,2,4,36,0,3,227,51,0,50,13,0,9,1,0,26,0,0,4,6,2,1,3,0,1,2,0,6,14,8,0,0
2800501013,1010,789,221,123,2,12,2,2,9,5,2,86,23,0,20,9,0,1,0,0,36,1,0,2,12,2,0,3,0,4,9,0,0,30,30,0,0
2800501014,1283,1046,237,148,2,12,0,5,9,2,3,109,26,2,23,5,0,0,3,0,45,6,0,10,11,3,0,2,0,3,1,1,1,13,11,0,0
2800501015,2460,1833,627,399,10,24,2,7,16,5,5,323,35,1,20,65,0,23,34,0,82,4,0,7,11,2,1,11,1,9,15,3,3,46,25,7,0
2800501016,1213,921,292,169,3,8,0,2,6,3,4,141,13,2,8,22,0,6,3,0,50,2,0,3,12,4,1,6,6,3,7,2,1,38,30,0,0
2800501017,1096,694,402,280,0,33,0,4,8,0,1,232,31,0,26,43,1,10,7,1,35,1,0,1,4,7,0,7,1,6,6,1,0,13,11,0,0
2800501018,1317,877,440,239,0,21,0,4,11,5,1,196,36,0,28,34,0,3,11,1,91,5,0,5,8,2,1,28,2,1,24,5,1,40,32,5,0
2800501020,1684,1114,570,364,0,11,0,1,25,4,1,318,41,0,39,49,1,30,9,0,82,5,3,13,18,8,2,8,4,4,11,0,3,34,30,0,0
2800501021,1517,1241,276,149,2,11,1,5,16,1,1,111,40,2,37,3,0,0,0,0,46,5,0,5,4,0,0,2,0,7,15,0,3,38,33,0,0
2800501022,1871,1362,509,297,0,40,0,3,26,8,0,220,75,1,64,43,5,21,9,0,64,1,2,6,12,2,0,3,4,15,6,1,5,30,24,2,0
2800501023,1301,1064,237,92,0,0,2,2,3,0,1,82,20,2,14,30,0,3,11,0,61,3,2,1,19,6,3,1,7,6,5,0,3,34,30,0,0
2800501024,1375,1197,178,130,2,14,2,1,18,0,0,92,12,0,12,11,6,0,4,0,16,2,2,1,2,0,0,0,0,1,4,0,0,9,4,1,0
2800502001,1357,1077,280,165,1,16,0,0,8,1,1,138,22,0,17,31,0,10,12,0,43,2,2,5,10,4,0,5,3,1,10,0,0,19,16,0,0
