Estadística del Padrón Continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.- Madrid, Comunidad de ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Población por sexo, Sección y nacionalidad (principales nacionalidades).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidades: Personas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSEC,Total Población,Españoles,Total Extranjeros,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
2800101001,65,64,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800201001,2051,1791,260,143,11,6,4,9,6,15,8,80,10,1,8,19,0,13,0,0,87,8,4,2,6,12,4,10,0,0,4,1,2,1,0,0,0
2800201002,2292,1910,382,222,1,0,3,8,8,2,1,197,5,2,1,52,0,43,1,0,87,3,2,3,13,22,3,6,0,17,6,0,4,16,15,0,0
2800301001,217,212,5,5,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2800401001,2795,2408,387,88,2,0,2,6,6,3,1,63,0,0,0,190,1,187,0,0,92,8,0,1,40,3,3,13,2,5,2,0,9,17,8,8,0
2800401002,2939,2586,353,141,0,4,0,6,11,5,2,109,8,0,5,114,0,112,1,0,86,5,7,0,15,20,2,3,3,1,17,5,2,4,0,0,0
2800401003,1854,1538,316,93,0,4,0,7,0,4,0,77,13,0,4,146,0,146,0,0,52,3,0,3,12,10,2,2,1,4,2,0,3,12,11,1,0
2800401004,1377,1238,139,43,1,0,0,0,2,3,1,36,4,2,0,68,0,66,0,0,23,3,1,0,5,3,0,6,0,1,0,0,3,1,1,0,0
2800501001,1519,1259,260,141,4,8,4,10,17,3,3,85,3,1,1,16,0,5,0,0,56,3,1,6,6,1,6,1,1,5,7,0,2,44,38,0,0
2800501002,1027,823,204,103,0,13,0,5,12,2,1,69,16,1,15,16,0,1,0,3,40,0,0,7,5,4,2,6,1,3,1,0,1,29,22,0,0
2800501003,1822,1459,363,223,2,26,3,13,12,4,6,149,12,0,10,26,4,11,4,1,55,2,1,5,14,2,0,5,0,6,5,0,5,47,35,1,0
2800501004,1334,1116,218,134,0,1,1,1,3,0,0,125,9,0,5,20,0,4,3,0,41,3,0,1,4,5,7,4,0,4,6,0,1,14,11,0,0
2800501005,1302,1091,211,112,3,0,5,11,3,0,6,78,9,0,7,12,0,7,3,0,31,4,0,6,4,1,0,3,0,2,0,0,2,47,42,0,0
2800501006,1352,1176,176,117,3,19,1,3,6,1,1,82,3,1,0,6,0,6,0,0,30,2,1,5,4,2,0,2,3,0,6,0,0,20,18,0,0
2800501007,1300,1111,189,119,0,6,0,4,9,3,1,92,12,0,8,19,0,5,13,0,36,0,0,4,6,0,0,2,0,6,9,0,3,3,3,0,0
2800501008,845,686,159,124,2,13,2,2,11,0,1,93,0,0,0,6,0,4,1,0,20,3,0,0,4,1,2,6,0,0,3,0,0,9,4,0,0
2800501009,1147,939,208,144,0,26,0,2,13,2,0,100,22,1,21,17,0,3,3,8,17,0,0,7,1,0,0,1,1,1,4,0,2,7,6,0,1
2800501010,1011,830,181,127,0,20,1,4,7,0,0,90,1,0,0,8,0,7,0,0,32,1,0,9,3,1,8,2,0,1,2,1,2,13,13,0,0
2800501011,1477,1119,358,237,0,47,2,7,13,2,0,166,8,0,8,27,3,14,4,1,52,0,0,6,16,2,6,0,0,2,11,0,5,34,33,0,0
2800501012,1987,1564,423,322,1,21,2,5,51,0,0,242,37,0,37,13,0,10,1,0,35,2,0,4,5,3,1,7,0,1,2,0,7,16,10,0,0
2800501013,1040,788,252,169,5,12,1,6,12,5,1,125,15,0,15,6,0,1,0,0,40,1,0,3,11,1,0,1,0,4,15,0,1,22,19,0,0
2800501014,1329,1054,275,166,1,10,2,4,19,2,2,123,29,1,27,9,0,1,4,0,55,7,0,10,17,4,0,3,1,3,3,0,0,16,14,0,0
2800501015,2484,1810,674,423,5,23,4,13,19,2,5,341,40,3,25,63,0,21,35,0,90,6,1,7,10,4,0,12,2,5,22,3,2,58,33,8,0
