TIPO_ELECCION;ANIO;MES;VUELTA;COD_PROV;COD_MUN;DIST_ELEC;COD_CAND;VOTOS_CAND;CAND_OBTENIDOS
02;2015;12;1;01;011;99;000049;00000073;000
02;2015;12;1;01;011;99;000059;00000017;000
02;2015;12;1;01;011;99;000170;00000012;000
02;2015;12;1;01;011;99;000231;00000003;000
02;2015;12;1;01;011;99;000596;00000001;000
02;2015;12;1;01;011;99;000610;00000000;000
02;2015;12;1;01;011;99;000682;00000001;000
02;2015;12;1;01;011;99;000757;00000000;000
02;2015;12;1;01;011;99;000897;00000000;000
02;2015;12;1;01;011;99;001127;00000000;000
02;2015;12;1;01;011;99;001156;00000017;000
02;2015;12;1;01;011;99;001279;00000000;000
02;2015;12;1;01;011;99;001381;00000000;000
02;2015;12;1;01;013;99;000025;00000119;000
02;2015;12;1;01;013;99;000049;00000047;000
02;2015;12;1;01;013;99;000059;00000016;000
02;2015;12;1;01;013;99;000170;00000015;000
02;2015;12;1;01;013;99;000231;00000135;000
02;2015;12;1;01;013;99;000596;00000000;000
02;2015;12;1;01;013;99;000610;00000004;000
02;2015;12;1;01;013;99;000682;00000010;000
02;2015;12;1;01;013;99;000757;00000001;000
02;2015;12;1;01;013;99;000897;00000000;000
02;2015;12;1;01;013;99;001127;00000001;000
02;2015;12;1;01;013;99;001156;00000132;000
02;2015;12;1;01;013;99;001279;00000000;000
02;2015;12;1;01;013;99;001381;00000001;000
02;2015;12;1;01;014;99;000025;00000069;000
02;2015;12;1;01;014;99;000049;00000065;000
02;2015;12;1;01;014;99;000059;00000033;000
02;2015;12;1;01;014;99;000170;00000023;000
02;2015;12;1;01;014;99;000231;00000023;000
02;2015;12;1;01;014;99;000596;00000001;000
02;2015;12;1;01;014;99;000610;00000003;000
02;2015;12;1;01;014;99;000682;00000015;000
02;2015;12;1;01;014;99;000757;00000001;000
02;2015;12;1;01;014;99;000897;00000000;000
02;2015;12;1;01;014;99;001127;00000000;000
02;2015;12;1;01;014;99;001156;00000049;000
02;2015;12;1;01;014;99;001279;00000001;000
02;2015;12;1;01;014;99;001381;00000000;000
02;2015;12;1;01;016;99;000025;00000066;000
02;2015;12;1;01;016;99;000049;00000057;000
02;2015;12;1;01;016;99;000059;00000014;000
02;2015;12;1;01;016;99;000170;00000009;000
02;2015;12;1;01;016;99;000231;00000036;000
02;2015;12;1;01;016;99;000596;00000000;000
02;2015;12;1;01;016;99;000610;00000000;000
02;2015;12;1;01;016;99;000682;00000006;000
02;2015;12;1;01;016;99;000757;00000002;000
02;2015;12;1;01;016;99;000897;00000000;000
02;2015;12;1;01;016;99;001127;00000000;000
02;2015;12;1;01;016;99;001156;00000055;000
02;2015;12;1;01;016;99;001279;00000001;000
02;2015;12;1;01;016;99;001381;00000000;000
02;2015;12;1;01;017;99;000025;00000185;000
02;2015;12;1;01;017;99;000049;00000077;000
02;2015;12;1;01;017;99;000059;00000055;000
02;2015;12;1;01;017;99;000170;00000013;000
02;2015;12;1;01;017;99;000231;00000122;000
02;2015;12;1;01;017;99;000596;00000004;000
02;2015;12;1;01;017;99;000610;00000004;000
02;2015;12;1;01;017;99;000682;00000008;000
02;2015;12;1;01;017;99;000757;00000001;000
02;2015;12;1;01;017;99;000897;00000001;000
02;2015;12;1;01;017;99;001127;00000000;000
02;2015;12;1;01;017;99;001156;00000101;000
02;2015;12;1;01;017;99;001279;00000001;000
02;2015;12;1;01;017;99;001381;00000002;000
02;2015;12;1;01;018;99;000025;00000215;000
02;2015;12;1;01;018;99;000049;00000123;000
02;2015;12;1;01;018;99;000059;00000073;000
02;2015;12;1;01;018;99;000170;00000035;000
02;2015;12;1;01;018;99;000231;00000246;000
02;2015;12;1;01;018;99;000596;00000004;000
02;2015;12;1;01;018;99;000610;00000006;000
02;2015;12;1;01;018;99;000682;00000027;000
02;2015;12;1;01;018;99;000757;00000002;000
02;2015;12;1;01;018;99;000897;00000000;000
02;2015;12;1;01;018;99;001127;00000000;000
02;2015;12;1;01;018;99;001156;00000228;000
02;2015;12;1;01;018;99;001279;00000001;000
02;2015;12;1;01;018;99;001381;00000000;000
02;2015;12;1;01;019;99;000025;00000068;000
02;2015;12;1;01;019;99;000049;00000017;000
02;2015;12;1;01;019;99;000059;00000003;000
02;2015;12;1;01;019;99;000170;00000001;000
02;2015;12;1;01;019;99;000231;00000011;000
02;2015;12;1;01;019;99;000596;00000000;000
02;2015;12;1;01;019;99;000610;00000000;000
02;2015;12;1;01;019;99;000682;00000001;000
