TIPO_ELECCION;ANIO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
04;2011;05;171666;EUPV-LA UNITAT-VERDS;ESQUERRA UNIDA PAÍS VALENCIÀ-LA UNITAT-VERDS;001657;001657;002453
04;2011;05;001777;GPC;GENT PEL CANVI (GPC);001777;001777;001777
04;2011;05;082900;PCPE;PARTIDO COMUNISTA DEL PUEBLO CASTELLANO;002895;002895;002895
04;2011;05;013870;V.C.P.E;VECINOS DE CARATAUNAS Y PADRE ETERNO;003870;003870;003870
04;2011;05;172219;U.L.C.;INDEPENDENTS-UNIDAD LOCAL CIUDADANA;002219;002219;002219
04;2011;05;120421;AGRI;AGRUPACION INDEPENDIENTE DE HORCAJUELO DE LA SIERRA;000421;000421;000421
04;2011;05;073367;PPCP;PLATAFORMA CIUDADANA DE PIOZ;003367;003367;003367
04;2011;05;000895;BIDE BERRIAK;BIDE BERRIAK;000895;000895;000895
04;2011;05;140705;A.I.B.;ALTERNATIVA INDEPENDIENTE BERANTEVILLA /BERANTEVILLAKO ALTERNATIBA INDEPENDIENTEA;000705;000705;000705
04;2011;05;003772;UxO;UNION POR ORDES;003772;003772;003772
04;2011;05;092203;PM;INDEPENDENTS PER VILALLER - PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;043612;TD;TREBALLADORS PER LA DEMOCRACIA;003612;003612;003612
04;2011;05;003736;U.D.U.;UNION DEMOCRATICA UBETENSE;003736;003736;003736
04;2011;05;130552;AIVM;AGRUPACION INDEPENDIENTE VILLA DE MURUZABAL;000552;000552;000552
04;2011;05;051152;CLAN;CENTRO LIBERAL DE ANTIGUA;001152;001152;001152
04;2011;05;093461;GMO-PM;PROGRÉS MUNICIPAL - GENT DEL MUNICIPI D'ORISTÀ (GMO);003279;003279;003186
04;2011;05;123452;PVM;PROGRESISTAS DE VALDEMORILLO;003452;003452;003452
04;2011;05;001925;IDOIA;IDOIA;001925;001925;001925
04;2011;05;070337;ARM;AGRUPACIÓN ELECTORAL RÍO MUNDO;000337;000337;000337
04;2011;05;092120;IpLISE - AM;Independents per Lluçà i Santa Eulàlia - Acord Municipal;001593;001593;001593
04;2011;05;142752;MULTILOAKO HERRI KANDIDATURA 2011;MUTILOAKO HERRI KANDIDATURA 2011;002752;002752;002752
04;2011;05;003735;U.D.Plu;UNION DEMOCRATICA PLURAL;003735;003735;003735
04;2011;05;083780;UPyD;UNION PROGRESO Y DEMOCRACIA;003780;003780;003780
04;2011;05;001177;CDR;CIUDADANOS DE RIVAS;001177;001177;001177
04;2011;05;130299;AEE;AGRUPACION ELECTORAL EULATE;000299;000299;000299
04;2011;05;090964;BMC;BLOC MUNICIPAL DE VILAFANT;003557;003557;003557
04;2011;05;091636;E.R.C.-S. I. DEL PALLARS-A. M.;ESQUERRA REPUBLICANA DE CATALUNYA-SOLIDARITAT INDEPENDENTISTA DEL PALLARS-ACORD MUNICIPAL;001593;001593;001593
04;2011;05;001169;Cñ;CIUDADANOS DE LOGROÑO;001169;001169;001169
04;2011;05;000176;A.E.I.D.L.A.;AGRUPACION DE ELECTORES I. DE LAS ALDEHUELAS;000176;000176;000176
04;2011;05;000255;AIA;AGRUPACION DE INDEPENDIENTES DE ABAIGAR;000255;000255;000255
04;2011;05;000199;A. E. I. LAS REGUERAS;AGRUPACION DE ELECTORES INDEPENDIENTES DE LAS REGUERAS;000199;000199;000199
04;2011;05;130376;AICG;AGRUPACION INDEPENDIENTE CENDEA DE GALAR;000376;000376;000376
04;2011;05;092185;PM;INDEPENDENTS PER SORT-PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;173374;PdBj;PLATAFORMA DE BENIARJO;003374;003374;003374
04;2011;05;092059;I. PER CASTELLSERÀ;INDEPENDENTS PER CASTELLSERÀ;002059;002059;002059
04;2011;05;001329;COMCE;COMPROMISO POR CENICIENTOS;001329;001329;001329
04;2011;05;093659;UAM;UNIO I ALTERNATIVA MUNICIPAL;003659;003659;003659
04;2011;05;092150;IpR-PM;INDEPENDENTS PER REGENCÓS- PROGRÉS MUNICIPAL;003279;003279;003186
04;2011;05;122742;M.S.R.;MOVIMIENTO SOCIAL REPUBLICANO;002742;002742;002742
04;2011;05;000264;ADF;AGRUPACION DEMOCRATICA DE FORTUNA;000264;000264;000264
04;2011;05;003922;V.S.T.;VILANOVA SOM TOTS;003922;003922;003922
04;2011;05;090282;AVIG;AGRUPACION DE VECINOS INDEPENDIENTES DE GELIDA;000282;000282;000282
04;2011;05;002042;IxB;INDEPENDENTS PER BÚGER;002042;002042;002042
04;2011;05;002269;IdRA;INDEPENDIENTES DE RAFELBUÑOL;002269;002269;002269
04;2011;05;173364;ApT;PLATAFORMA CIUDADANA ALBALAT PEL TERRITORI;003364;003364;003364
04;2011;05;000148;A.E.G.D.A;AGRUPACION DE ELECTORES DE GENTE DE DOS AGUAS;000148;000148;000148
04;2011;05;001036;CVLR;CAMBIO DE VERDAD LAS ROZAS;001036;001036;001036
04;2011;05;000865;ATABEA;ATABEA;000865;000865;000865
04;2011;05;062733;MVTO. FALANGISTA DE ESPAÑA;MOVIMIENTO FALANGISTA DE ESPAÑA;002733;002733;002733
04;2011;05;092209;I. PER VILANOVA DE SEGRIÀ;INDEPENDENTS PER VILANOVA DE SEGRIÀ;002209;002209;002209
04;2011;05;080240;A. E. TUDELA DE DUERO-HERRERA DE DUERO;AGRUPACION DE ELECTORES TUDELA DE DUERO-HERRERA DE DUERO;000240;000240;000240
04;2011;05;131537;ESPAÑA 2000;ESPAÑA 2000;001537;001537;001537
04;2011;05;091468;EM-AM;EL MONTMELL-ACORD MUNICIPAL;001593;001593;001593
04;2011;05;132627;LANDERRI;LANDERRI;002627;002627;002627
04;2011;05;130494;A.I.I;AGRUPACIÓN INDEPENDIENTE IZAGA;000494;000494;000494
04;2011;05;093465;PM;PROGRÉS MUNICIPAL - INDEPENDENTS PER SOBREMUNT;003279;003279;003186
04;2011;05;171145;CDdp-CDL;CENTRO DEMOCRATICO LIBERAL DE PATERNA;001140;001140;001140
04;2011;05;000008;ACCEDE;ACCION CERDANÍ DEMOCRATICA;000008;000008;000008
04;2011;05;000232;SI;AGRUPACIÓN DE ELECTORES SALINAS INDEPENDIENTE;000232;000232;000232
04;2011;05;073746;U.I.C;UNION INDEPENDIENTE DE CEBOLLA;003746;003746;003746
04;2011;05;003246;PUCAT;PARTIT DE LES URBANITZACIONS DE CATALUNYA;003246;003246;003246
04;2011;05;021503;ERC / ESQUERRA;ENTESA PER CALACEIT ACORD MUNICIPAL;001503;001593;001593
04;2011;05;103677;U.B.M;UNION BAÑOS DE MONTEMAYOR;003677;003677;003677
04;2011;05;093263;PSC - PM;PARTIT DELS SOCIALISTES DE CATALUNYA - PROGRÉS MUNICIPAL;003279;003279;003186
