CUSEC,DISTRITO-SECCION,BARRIO,TRAMO,RENTAMEDIA
2807914058,14 - 058,145,5,Entre 27.760€ y 31.040€
2807914059,14 - 059,145,4,Entre 25.295€ y 27.760€
2807914060,14 - 060,146,6,Entre 31.040€ y 34.950€
2807914061,14 - 061,146,7,Entre 34.950€ y 39.755€
2807914062,14 - 062,146,5,Entre 27.760€ y 31.040€
2807914063,14 - 063,146,5,Entre 27.760€ y 31.040€
2807914064,14 - 064,146,5,Entre 27.760€ y 31.040€
2807914065,14 - 065,146,5,Entre 27.760€ y 31.040€
2807914066,14 - 066,146,2,Entre 21.215€ y 23.140€
2807914067,14 - 067,146,1,Menos de 21.215€
2807914068,14 - 068,146,2,Entre 21.215€ y 23.140€
2807914069,14 - 069,146,5,Entre 27.760€ y 31.040€
2807914070,14 - 070,146,2,Entre 21.215€ y 23.140€
2807914071,14 - 071,146,3,Entre 23.140€ y 25.295€
2807914072,14 - 072,146,5,Entre 27.760€ y 31.040€
2807914073,14 - 073,146,6,Entre 31.040€ y 34.950€
2807914074,14 - 074,146,6,Entre 31.040€ y 34.950€
2807914075,14 - 075,146,4,Entre 25.295€ y 27.760€
2807914076,14 - 076,146,6,Entre 31.040€ y 34.950€
2807914077,14 - 077,146,5,Entre 27.760€ y 31.040€
2807914078,14 - 078,146,4,Entre 25.295€ y 27.760€
2807914079,14 - 079,141,8,Entre 39.755€ y 46.300€
2807914080,14 - 080,143,9,Entre  46.300€ y 58.390€
2807914081,14 - 081,143,9,Entre  46.300€ y 58.390€
2807914082,14 - 082,144,1,Menos de 21.215€
2807914083,14 - 083,144,4,Entre 25.295€ y 27.760€
2807914084,14 - 084,144,8,Entre 39.755€ y 46.300€
2807914085,14 - 085,143,9,Entre  46.300€ y 58.390€
2807914086,14 - 086,143,6,Entre 31.040€ y 34.950€
2807914087,14 - 087,143,9,Entre  46.300€ y 58.390€
2807914088,14 - 088,141,8,Entre 39.755€ y 46.300€
2807914089,14 - 089,142,7,Entre 34.950€ y 39.755€
2807914090,14 - 090,142,7,Entre 34.950€ y 39.755€
2807914091,14 - 091,142,9,Entre  46.300€ y 58.390€
2807914092,14 - 092,141,7,Entre 34.950€ y 39.755€
2807914093,14 - 093,142,8,Entre 39.755€ y 46.300€
2807915001,15 - 001,151,7,Entre 34.950€ y 39.755€
2807915002,15 - 002,151,5,Entre 27.760€ y 31.040€
2807915003,15 - 003,151,5,Entre 27.760€ y 31.040€
2807915005,15 - 005,151,5,Entre 27.760€ y 31.040€
2807915006,15 - 006,151,4,Entre 25.295€ y 27.760€
2807915008,15 - 008,151,4,Entre 25.295€ y 27.760€
2807915009,15 - 009,151,2,Entre 21.215€ y 23.140€
2807915010,15 - 010,151,2,Entre 21.215€ y 23.140€
2807915011,15 - 011,151,2,Entre 21.215€ y 23.140€
2807915012,15 - 012,151,4,Entre 25.295€ y 27.760€
2807915013,15 - 013,151,3,Entre 23.140€ y 25.295€
2807915014,15 - 014,151,3,Entre 23.140€ y 25.295€
2807915015,15 - 015,151,3,Entre 23.140€ y 25.295€
2807915016,15 - 016,151,1,Menos de 21.215€
2807915017,15 - 017,151,3,Entre 23.140€ y 25.295€
2807915018,15 - 018,151,4,Entre 25.295€ y 27.760€
2807915019,15 - 019,151,3,Entre 23.140€ y 25.295€
2807915020,15 - 020,151,2,Entre 21.215€ y 23.140€
2807915021,15 - 021,151,2,Entre 21.215€ y 23.140€
2807915022,15 - 022,151,3,Entre 23.140€ y 25.295€
2807915023,15 - 023,151,4,Entre 25.295€ y 27.760€
2807915024,15 - 024,151,5,Entre 27.760€ y 31.040€
2807915025,15 - 025,151,6,Entre 31.040€ y 34.950€
2807915026,15 - 026,151,3,Entre 23.140€ y 25.295€
2807915027,15 - 027,151,5,Entre 27.760€ y 31.040€
2807915028,15 - 028,151,6,Entre 31.040€ y 34.950€
2807915029,15 - 029,151,4,Entre 25.295€ y 27.760€
2807915030,15 - 030,151,7,Entre 34.950€ y 39.755€
2807915031,15 - 031,151,6,Entre 31.040€ y 34.950€
2807915032,15 - 032,151,6,Entre 31.040€ y 34.950€
2807915033,15 - 033,151,5,Entre 27.760€ y 31.040€
2807915034,15 - 034,151,4,Entre 25.295€ y 27.760€
2807915035,15 - 035,151,5,Entre 27.760€ y 31.040€
2807915036,15 - 036,151,4,Entre 25.295€ y 27.760€
2807915037,15 - 037,151,4,Entre 25.295€ y 27.760€
2807915038,15 - 038,151,4,Entre 25.295€ y 27.760€
2807915039,15 - 039,151,4,Entre 25.295€ y 27.760€
2807915040,15 - 040,151,4,Entre 25.295€ y 27.760€
2807915041,15 - 041,151,5,Entre 27.760€ y 31.040€
2807915042,15 - 042,151,5,Entre 27.760€ y 31.040€
2807915043,15 - 043,151,6,Entre 31.040€ y 34.950€
2807915044,15 - 044,152,6,Entre 31.040€ y 34.950€
2807915045,15 - 045,152,6,Entre 31.040€ y 34.950€
2807915046,15 - 046,152,5,Entre 27.760€ y 31.040€
2807915047,15 - 047,152,5,Entre 27.760€ y 31.040€
2807915048,15 - 048,152,5,Entre 27.760€ y 31.040€
2807915049,15 - 049,152,3,Entre 23.140€ y 25.295€
2807915050,15 - 050,152,5,Entre 27.760€ y 31.040€
2807915051,15 - 051,152,4,Entre 25.295€ y 27.760€
2807915052,15 - 052,152,4,Entre 25.295€ y 27.760€
2807915053,15 - 053,152,3,Entre 23.140€ y 25.295€
2807915054,15 - 054,152,3,Entre 23.140€ y 25.295€
2807915056,15 - 056,152,4,Entre 25.295€ y 27.760€
2807915057,15 - 057,152,4,Entre 25.295€ y 27.760€
2807915058,15 - 058,152,3,Entre 23.140€ y 25.295€
2807915059,15 - 059,152,3,Entre 23.140€ y 25.295€
2807915060,15 - 060,152,2,Entre 21.215€ y 23.140€
2807915061,15 - 061,152,4,Entre 25.295€ y 27.760€
2807915062,15 - 062,152,6,Entre 31.040€ y 34.950€
2807915065,15 - 065,152,7,Entre 34.950€ y 39.755€
2807915066,15 - 066,152,6,Entre 31.040€ y 34.950€
2807915067,15 - 067,152,6,Entre 31.040€ y 34.950€
2807915068,15 - 068,152,7,Entre 34.950€ y 39.755€
2807915069,15 - 069,152,8,Entre 39.755€ y 46.300€
2807915070,15 - 070,152,7,Entre 34.950€ y 39.755€
2807915071,15 - 071,152,1,Menos de 21.215€
2807915073,15 - 073,152,2,Entre 21.215€ y 23.140€
2807915074,15 - 074,152,3,Entre 23.140€ y 25.295€
2807915075,15 - 075,152,4,Entre 25.295€ y 27.760€
2807915076,15 - 076,152,3,Entre 23.140€ y 25.295€
2807915077,15 - 077,152,5,Entre 27.760€ y 31.040€
2807915078,15 - 078,152,1,Menos de 21.215€
2807915079,15 - 079,152,3,Entre 23.140€ y 25.295€
2807915080,15 - 080,152,1,Menos de 21.215€
2807915081,15 - 081,152,2,Entre 21.215€ y 23.140€
2807915082,15 - 082,152,7,Entre 34.950€ y 39.755€
2807915083,15 - 083,152,3,Entre 23.140€ y 25.295€
2807915084,15 - 084,152,4,Entre 25.295€ y 27.760€
2807915085,15 - 085,152,5,Entre 27.760€ y 31.040€
2807915086,15 - 086,152,6,Entre 31.040€ y 34.950€
2807915087,15 - 087,152,1,Menos de 21.215€
2807915088,15 - 088,152,1,Menos de 21.215€
2807915089,15 - 089,152,4,Entre 25.295€ y 27.760€
2807915090,15 - 090,152,7,Entre 34.950€ y 39.755€
2807915092,15 - 092,153,8,Entre 39.755€ y 46.300€
2807915093,15 - 093,153,6,Entre 31.040€ y 34.950€
2807915094,15 - 094,153,5,Entre 27.760€ y 31.040€
2807915095,15 - 095,153,3,Entre 23.140€ y 25.295€
2807915096,15 - 096,153,5,Entre 27.760€ y 31.040€
2807915097,15 - 097,153,5,Entre 27.760€ y 31.040€
2807915098,15 - 098,153,4,Entre 25.295€ y 27.760€
2807915099,15 - 099,153,4,Entre 25.295€ y 27.760€
2807915100,15 - 100,153,4,Entre 25.295€ y 27.760€
2807915101,15 - 101,153,5,Entre 27.760€ y 31.040€
2807915102,15 - 102,153,4,Entre 25.295€ y 27.760€
2807915103,15 - 103,153,4,Entre 25.295€ y 27.760€
2807915104,15 - 104,153,3,Entre 23.140€ y 25.295€
2807915105,15 - 105,153,4,Entre 25.295€ y 27.760€
2807915106,15 - 106,153,5,Entre 27.760€ y 31.040€
2807915108,15 - 108,153,5,Entre 27.760€ y 31.040€
2807915109,15 - 109,153,6,Entre 31.040€ y 34.950€
2807915110,15 - 110,153,3,Entre 23.140€ y 25.295€
2807915111,15 - 111,153,6,Entre 31.040€ y 34.950€
2807915112,15 - 112,153,5,Entre 27.760€ y 31.040€
2807915113,15 - 113,153,5,Entre 27.760€ y 31.040€
2807915114,15 - 114,154,6,Entre 31.040€ y 34.950€
2807915115,15 - 115,154,6,Entre 31.040€ y 34.950€
2807915116,15 - 116,154,5,Entre 27.760€ y 31.040€
2807915117,15 - 117,154,4,Entre 25.295€ y 27.760€
2807915118,15 - 118,154,3,Entre 23.140€ y 25.295€
2807915119,15 - 119,154,3,Entre 23.140€ y 25.295€
2807915120,15 - 120,154,3,Entre 23.140€ y 25.295€
2807915121,15 - 121,154,4,Entre 25.295€ y 27.760€
2807915122,15 - 122,154,6,Entre 31.040€ y 34.950€
2807915123,15 - 123,154,7,Entre 34.950€ y 39.755€
2807915124,15 - 124,154,6,Entre 31.040€ y 34.950€
2807915125,15 - 125,154,9,Entre  46.300€ y 58.390€
2807915126,15 - 126,154,5,Entre 27.760€ y 31.040€
2807915127,15 - 127,154,8,Entre 39.755€ y 46.300€
2807915128,15 - 128,154,9,Entre  46.300€ y 58.390€
2807915129,15 - 129,154,6,Entre 31.040€ y 34.950€
2807915130,15 - 130,154,6,Entre 31.040€ y 34.950€
2807915131,15 - 131,154,5,Entre 27.760€ y 31.040€
2807915132,15 - 132,155,6,Entre 31.040€ y 34.950€
2807915133,15 - 133,155,6,Entre 31.040€ y 34.950€
2807915134,15 - 134,155,7,Entre 34.950€ y 39.755€
2807915135,15 - 135,155,5,Entre 27.760€ y 31.040€
2807915136,15 - 136,155,5,Entre 27.760€ y 31.040€
2807915138,15 - 138,155,3,Entre 23.140€ y 25.295€
2807915139,15 - 139,155,3,Entre 23.140€ y 25.295€
2807915140,15 - 140,155,3,Entre 23.140€ y 25.295€
2807915141,15 - 141,155,6,Entre 31.040€ y 34.950€
2807915142,15 - 142,155,9,Entre  46.300€ y 58.390€
2807915143,15 - 143,155,10,Más de 58.390€ 
2807915144,15 - 144,155,10,Más de 58.390€ 
2807915145,15 - 145,155,9,Entre  46.300€ y 58.390€
2807915146,15 - 146,155,9,Entre  46.300€ y 58.390€
2807915147,15 - 147,155,10,Más de 58.390€ 
2807915148,15 - 148,156,7,Entre 34.950€ y 39.755€
2807915149,15 - 149,156,8,Entre 39.755€ y 46.300€
2807915150,15 - 150,156,10,Más de 58.390€ 
2807915151,15 - 151,156,9,Entre  46.300€ y 58.390€
2807915153,15 - 153,156,9,Entre  46.300€ y 58.390€
2807915154,15 - 154,157,8,Entre 39.755€ y 46.300€
2807915155,15 - 155,157,10,Más de 58.390€ 
2807915156,15 - 156,157,7,Entre 34.950€ y 39.755€
2807915157,15 - 157,157,9,Entre  46.300€ y 58.390€
2807915158,15 - 158,157,10,Más de 58.390€ 
2807915159,15 - 159,158,10,Más de 58.390€ 
2807915160,15 - 160,159,10,Más de 58.390€ 
2807915161,15 - 161,159,10,Más de 58.390€ 
2807915162,15 - 162,159,10,Más de 58.390€ 
2807915163,15 - 163,159,9,Entre  46.300€ y 58.390€
2807915164,15 - 164,159,10,Más de 58.390€ 
2807915165,15 - 165,159,10,Más de 58.390€ 
2807915166,15 - 166,159,10,Más de 58.390€ 
2807915167,15 - 167,159,10,Más de 58.390€ 
2807915168,15 - 168,159,10,Más de 58.390€ 
2807915170,15 - 170,159,10,Más de 58.390€ 
2807915171,15 - 171,159,5,Entre 27.760€ y 31.040€
2807915172,15 - 172,159,10,Más de 58.390€ 
2807915173,15 - 173,159,10,Más de 58.390€ 
2807915174,15 - 174,156,10,Más de 58.390€ 
2807915175,15 - 175,156,8,Entre 39.755€ y 46.300€
2807915176,15 - 176,159,9,Entre  46.300€ y 58.390€
2807915177,15 - 177,152,7,Entre 34.950€ y 39.755€
2807915178,15 - 178,156,9,Entre  46.300€ y 58.390€
2807915179,15 - 179,152,7,Entre 34.950€ y 39.755€
2807915180,15 - 180,156,9,Entre  46.300€ y 58.390€
2807915181,15 - 181,152,9,Entre  46.300€ y 58.390€
2807915182,15 - 182,159,9,Entre  46.300€ y 58.390€
2807916001,16 - 001,161,10,Más de 58.390€ 
2807916002,16 - 002,161,10,Más de 58.390€ 
2807916003,16 - 003,162,10,Más de 58.390€ 
2807916004,16 - 004,162,10,Más de 58.390€ 
2807916005,16 - 005,162,10,Más de 58.390€ 
2807916006,16 - 006,163,9,Entre  46.300€ y 58.390€
2807916007,16 - 007,163,9,Entre  46.300€ y 58.390€
2807916008,16 - 008,163,3,Entre 23.140€ y 25.295€
2807916009,16 - 009,163,2,Entre 21.215€ y 23.140€
2807916011,16 - 011,163,4,Entre 25.295€ y 27.760€
2807916012,16 - 012,163,4,Entre 25.295€ y 27.760€
2807916013,16 - 013,163,7,Entre 34.950€ y 39.755€
2807916014,16 - 014,163,6,Entre 31.040€ y 34.950€
2807916015,16 - 015,163,7,Entre 34.950€ y 39.755€
2807916016,16 - 016,163,6,Entre 31.040€ y 34.950€
2807916017,16 - 017,163,7,Entre 34.950€ y 39.755€
2807916018,16 - 018,163,7,Entre 34.950€ y 39.755€
2807916019,16 - 019,163,7,Entre 34.950€ y 39.755€
2807916020,16 - 020,163,7,Entre 34.950€ y 39.755€
2807916021,16 - 021,163,8,Entre 39.755€ y 46.300€
2807916022,16 - 022,163,7,Entre 34.950€ y 39.755€
2807916024,16 - 024,163,6,Entre 31.040€ y 34.950€
2807916025,16 - 025,163,7,Entre 34.950€ y 39.755€
2807916026,16 - 026,163,4,Entre 25.295€ y 27.760€
2807916027,16 - 027,163,5,Entre 27.760€ y 31.040€
2807916028,16 - 028,163,7,Entre 34.950€ y 39.755€
2807916029,16 - 029,163,5,Entre 27.760€ y 31.040€
2807916030,16 - 030,163,6,Entre 31.040€ y 34.950€
2807916031,16 - 031,163,8,Entre 39.755€ y 46.300€
2807916032,16 - 032,163,8,Entre 39.755€ y 46.300€
2807916033,16 - 033,163,7,Entre 34.950€ y 39.755€
2807916034,16 - 034,163,6,Entre 31.040€ y 34.950€
2807916035,16 - 035,163,9,Entre  46.300€ y 58.390€
2807916036,16 - 036,164,10,Más de 58.390€ 
2807916037,16 - 037,164,4,Entre 25.295€ y 27.760€
2807916038,16 - 038,164,6,Entre 31.040€ y 34.950€
2807916039,16 - 039,164,2,Entre 21.215€ y 23.140€
2807916040,16 - 040,164,2,Entre 21.215€ y 23.140€
2807916041,16 - 041,164,2,Entre 21.215€ y 23.140€
2807916042,16 - 042,164,5,Entre 27.760€ y 31.040€
2807916043,16 - 043,164,4,Entre 25.295€ y 27.760€
2807916044,16 - 044,164,7,Entre 34.950€ y 39.755€
2807916045,16 - 045,164,9,Entre  46.300€ y 58.390€
2807916046,16 - 046,164,8,Entre 39.755€ y 46.300€
2807916047,16 - 047,164,5,Entre 27.760€ y 31.040€
2807916048,16 - 048,164,7,Entre 34.950€ y 39.755€
2807916049,16 - 049,164,9,Entre  46.300€ y 58.390€
2807916050,16 - 050,164,6,Entre 31.040€ y 34.950€
2807916051,16 - 051,164,5,Entre 27.760€ y 31.040€
2807916052,16 - 052,164,4,Entre 25.295€ y 27.760€
2807916053,16 - 053,164,4,Entre 25.295€ y 27.760€
2807916054,16 - 054,164,4,Entre 25.295€ y 27.760€
2807916055,16 - 055,164,2,Entre 21.215€ y 23.140€
2807916056,16 - 056,164,2,Entre 21.215€ y 23.140€
2807916057,16 - 057,164,4,Entre 25.295€ y 27.760€
2807916058,16 - 058,164,5,Entre 27.760€ y 31.040€
2807916059,16 - 059,164,6,Entre 31.040€ y 34.950€
2807916060,16 - 060,164,8,Entre 39.755€ y 46.300€
2807916061,16 - 061,164,8,Entre 39.755€ y 46.300€
2807916062,16 - 062,164,7,Entre 34.950€ y 39.755€
2807916063,16 - 063,164,8,Entre 39.755€ y 46.300€
2807916064,16 - 064,164,8,Entre 39.755€ y 46.300€
2807916065,16 - 065,164,3,Entre 23.140€ y 25.295€
2807916066,16 - 066,164,4,Entre 25.295€ y 27.760€
2807916067,16 - 067,164,2,Entre 21.215€ y 23.140€
2807916069,16 - 069,164,5,Entre 27.760€ y 31.040€
2807916070,16 - 070,164,7,Entre 34.950€ y 39.755€
2807916071,16 - 071,164,2,Entre 21.215€ y 23.140€
2807916072,16 - 072,164,2,Entre 21.215€ y 23.140€
2807916073,16 - 073,164,3,Entre 23.140€ y 25.295€
2807916074,16 - 074,164,2,Entre 21.215€ y 23.140€
2807916075,16 - 075,164,4,Entre 25.295€ y 27.760€
2807916076,16 - 076,164,2,Entre 21.215€ y 23.140€
2807916077,16 - 077,164,3,Entre 23.140€ y 25.295€
2807916078,16 - 078,164,2,Entre 21.215€ y 23.140€
2807916079,16 - 079,165,7,Entre 34.950€ y 39.755€
2807916080,16 - 080,165,10,Más de 58.390€ 
2807916081,16 - 081,165,9,Entre  46.300€ y 58.390€
2807916082,16 - 082,165,2,Entre 21.215€ y 23.140€
2807916083,16 - 083,165,4,Entre 25.295€ y 27.760€
2807916085,16 - 085,165,6,Entre 31.040€ y 34.950€
2807916086,16 - 086,165,6,Entre 31.040€ y 34.950€
2807916087,16 - 087,165,5,Entre 27.760€ y 31.040€
2807916088,16 - 088,165,6,Entre 31.040€ y 34.950€
2807916089,16 - 089,165,6,Entre 31.040€ y 34.950€
2807916090,16 - 090,165,5,Entre 27.760€ y 31.040€
2807916091,16 - 091,166,10,Más de 58.390€ 
2807916092,16 - 092,166,8,Entre 39.755€ y 46.300€
2807916093,16 - 093,166,9,Entre  46.300€ y 58.390€
2807916096,16 - 096,166,9,Entre  46.300€ y 58.390€
2807916097,16 - 097,164,6,Entre 31.040€ y 34.950€
2807916098,16 - 098,163,9,Entre  46.300€ y 58.390€
2807916099,16 - 099,166,9,Entre  46.300€ y 58.390€
2807916100,16 - 100,163,9,Entre  46.300€ y 58.390€
2807916101,16 - 101,163,9,Entre  46.300€ y 58.390€
2807916102,16 - 102,162,10,Más de 58.390€ 
2807916103,16 - 103,162,10,Más de 58.390€ 
2807916104,16 - 104,162,8,Entre 39.755€ y 46.300€
2807916105,16 - 105,161,10,Más de 58.390€ 
2807916106,16 - 106,166,9,Entre  46.300€ y 58.390€
2807916107,16 - 107,166,9,Entre  46.300€ y 58.390€
2807916108,16 - 108,166,9,Entre  46.300€ y 58.390€
2807916109,16 - 109,166,4,Entre 25.295€ y 27.760€
2807916110,16 - 110,166,8,Entre 39.755€ y 46.300€
2807916111,16 - 111,166,9,Entre  46.300€ y 58.390€
2807916112,16 - 112,166,8,Entre 39.755€ y 46.300€
2807916113,16 - 113,162,10,Más de 58.390€ 
2807916114,16 - 114,166,9,Entre  46.300€ y 58.390€
2807916115,16 - 115,166,10,Más de 58.390€ 
2807916116,16 - 116,166,7,Entre 34.950€ y 39.755€
2807916117,16 - 117,166,8,Entre 39.755€ y 46.300€
2807916118,16 - 118,166,9,Entre  46.300€ y 58.390€
2807916119,16 - 119,166,8,Entre 39.755€ y 46.300€
2807916120,16 - 120,166,7,Entre 34.950€ y 39.755€
2807916121,16 - 121,161,10,Más de 58.390€ 
2807916122,16 - 122,166,9,Entre  46.300€ y 58.390€
2807916123,16 - 123,166,10,Más de 58.390€ 
2807916124,16 - 124,166,9,Entre  46.300€ y 58.390€
2807916125,16 - 125,166,9,Entre  46.300€ y 58.390€
2807917002,17 - 002,171,2,Entre 21.215€ y 23.140€
2807917003,17 - 003,171,2,Entre 21.215€ y 23.140€
2807917004,17 - 004,171,1,Menos de 21.215€
2807917006,17 - 006,171,2,Entre 21.215€ y 23.140€
2807917007,17 - 007,171,1,Menos de 21.215€
2807917008,17 - 008,171,2,Entre 21.215€ y 23.140€
2807917009,17 - 009,171,2,Entre 21.215€ y 23.140€
2807917010,17 - 010,171,2,Entre 21.215€ y 23.140€
2807917011,17 - 011,171,2,Entre 21.215€ y 23.140€
2807917012,17 - 012,171,2,Entre 21.215€ y 23.140€
2807917013,17 - 013,171,2,Entre 21.215€ y 23.140€
2807917014,17 - 014,171,1,Menos de 21.215€
2807917015,17 - 015,171,1,Menos de 21.215€
2807917016,17 - 016,171,1,Menos de 21.215€
2807917017,17 - 017,171,3,Entre 23.140€ y 25.295€
2807917018,17 - 018,171,1,Menos de 21.215€
2807917019,17 - 019,171,1,Menos de 21.215€
2807917020,17 - 020,171,4,Entre 25.295€ y 27.760€
2807917021,17 - 021,171,1,Menos de 21.215€
2807917022,17 - 022,171,1,Menos de 21.215€
2807917023,17 - 023,171,4,Entre 25.295€ y 27.760€
2807917024,17 - 024,171,2,Entre 21.215€ y 23.140€
2807917025,17 - 025,171,3,Entre 23.140€ y 25.295€
2807917026,17 - 026,171,1,Menos de 21.215€
2807917027,17 - 027,171,5,Entre 27.760€ y 31.040€
2807917028,17 - 028,171,4,Entre 25.295€ y 27.760€
2807917029,17 - 029,171,5,Entre 27.760€ y 31.040€
2807917031,17 - 031,172,1,Menos de 21.215€
2807917032,17 - 032,172,1,Menos de 21.215€
2807917033,17 - 033,172,1,Menos de 21.215€
2807917035,17 - 035,172,1,Menos de 21.215€
2807917036,17 - 036,172,1,Menos de 21.215€
2807917037,17 - 037,172,1,Menos de 21.215€
2807917038,17 - 038,172,1,Menos de 21.215€
2807917039,17 - 039,172,1,Menos de 21.215€
2807917041,17 - 041,172,1,Menos de 21.215€
2807917042,17 - 042,172,1,Menos de 21.215€
2807917043,17 - 043,172,1,Menos de 21.215€
2807917045,17 - 045,173,5,Entre 27.760€ y 31.040€
2807917046,17 - 046,173,2,Entre 21.215€ y 23.140€
2807917047,17 - 047,173,1,Menos de 21.215€
2807917048,17 - 048,174,5,Entre 27.760€ y 31.040€
2807917049,17 - 049,174,1,Menos de 21.215€
2807917050,17 - 050,174,2,Entre 21.215€ y 23.140€
2807917051,17 - 051,174,1,Menos de 21.215€
2807917052,17 - 052,174,3,Entre 23.140€ y 25.295€
2807917053,17 - 053,174,3,Entre 23.140€ y 25.295€
2807917054,17 - 054,174,2,Entre 21.215€ y 23.140€
2807917055,17 - 055,174,4,Entre 25.295€ y 27.760€
2807917057,17 - 057,174,1,Menos de 21.215€
2807917058,17 - 058,174,3,Entre 23.140€ y 25.295€
2807917059,17 - 059,174,3,Entre 23.140€ y 25.295€
2807917060,17 - 060,174,3,Entre 23.140€ y 25.295€
2807917061,17 - 061,174,1,Menos de 21.215€
2807917062,17 - 062,174,1,Menos de 21.215€
2807917063,17 - 063,174,2,Entre 21.215€ y 23.140€
2807917064,17 - 064,174,2,Entre 21.215€ y 23.140€
2807917065,17 - 065,174,2,Entre 21.215€ y 23.140€
2807917066,17 - 066,174,1,Menos de 21.215€
2807917068,17 - 068,175,1,Menos de 21.215€
2807917069,17 - 069,175,2,Entre 21.215€ y 23.140€
2807917070,17 - 070,175,7,Entre 34.950€ y 39.755€
2807917071,17 - 071,175,6,Entre 31.040€ y 34.950€
2807917072,17 - 072,175,1,Menos de 21.215€
2807917073,17 - 073,175,2,Entre 21.215€ y 23.140€
2807917074,17 - 074,175,4,Entre 25.295€ y 27.760€
2807917075,17 - 075,175,5,Entre 27.760€ y 31.040€
2807917076,17 - 076,175,5,Entre 27.760€ y 31.040€
2807917078,17 - 078,175,6,Entre 31.040€ y 34.950€
2807917079,17 - 079,175,2,Entre 21.215€ y 23.140€
2807917080,17 - 080,175,7,Entre 34.950€ y 39.755€
2807917082,17 - 082,175,3,Entre 23.140€ y 25.295€
2807917083,17 - 083,175,3,Entre 23.140€ y 25.295€
2807917084,17 - 084,175,2,Entre 21.215€ y 23.140€
2807917085,17 - 085,175,6,Entre 31.040€ y 34.950€
2807917086,17 - 086,175,5,Entre 27.760€ y 31.040€
2807917087,17 - 087,175,4,Entre 25.295€ y 27.760€
2807917089,17 - 089,175,2,Entre 21.215€ y 23.140€
2807917090,17 - 090,175,5,Entre 27.760€ y 31.040€
2807917091,17 - 091,175,4,Entre 25.295€ y 27.760€
2807917092,17 - 092,175,6,Entre 31.040€ y 34.950€
2807917093,17 - 093,175,5,Entre 27.760€ y 31.040€
2807917094,17 - 094,175,4,Entre 25.295€ y 27.760€
2807917095,17 - 095,175,3,Entre 23.140€ y 25.295€
2807917096,17 - 096,174,7,Entre 34.950€ y 39.755€
2807917097,17 - 097,174,7,Entre 34.950€ y 39.755€
2807917098,17 - 098,171,1,Menos de 21.215€
2807917099,17 - 099,171,7,Entre 34.950€ y 39.755€
2807917100,17 - 100,171,1,Menos de 21.215€
2807917101,17 - 101,173,3,Entre 23.140€ y 25.295€
2807917102,17 - 102,175,8,Entre 39.755€ y 46.300€
2807917103,17 - 103,174,6,Entre 31.040€ y 34.950€
2807917104,17 - 104,174,6,Entre 31.040€ y 34.950€
2807917105,17 - 105,174,6,Entre 31.040€ y 34.950€
2807917106,17 - 106,171,4,Entre 25.295€ y 27.760€
2807917107,17 - 107,173,5,Entre 27.760€ y 31.040€
2807917108,17 - 108,174,7,Entre 34.950€ y 39.755€
2807917109,17 - 109,171,3,Entre 23.140€ y 25.295€
2807917110,17 - 110,173,6,Entre 31.040€ y 34.950€
2807917111,17 - 111,173,4,Entre 25.295€ y 27.760€
2807917112,17 - 112,174,8,Entre 39.755€ y 46.300€
2807917113,17 - 113,171,7,Entre 34.950€ y 39.755€
2807917114,17 - 114,173,6,Entre 31.040€ y 34.950€
2807918002,18 - 002,181,3,Entre 23.140€ y 25.295€
2807918003,18 - 003,181,2,Entre 21.215€ y 23.140€
2807918004,18 - 004,181,3,Entre 23.140€ y 25.295€
2807918005,18 - 005,181,1,Menos de 21.215€
2807918006,18 - 006,181,4,Entre 25.295€ y 27.760€
2807918007,18 - 007,181,3,Entre 23.140€ y 25.295€
2807918008,18 - 008,181,3,Entre 23.140€ y 25.295€
2807918009,18 - 009,181,3,Entre 23.140€ y 25.295€
2807918010,18 - 010,181,1,Menos de 21.215€
2807918011,18 - 011,181,3,Entre 23.140€ y 25.295€
2807918012,18 - 012,181,2,Entre 21.215€ y 23.140€
2807918013,18 - 013,181,3,Entre 23.140€ y 25.295€
2807918014,18 - 014,181,3,Entre 23.140€ y 25.295€
2807918015,18 - 015,181,2,Entre 21.215€ y 23.140€
2807918016,18 - 016,181,1,Menos de 21.215€
2807918017,18 - 017,181,1,Menos de 21.215€
2807918018,18 - 018,181,3,Entre 23.140€ y 25.295€
2807918019,18 - 019,181,3,Entre 23.140€ y 25.295€
2807918020,18 - 020,181,5,Entre 27.760€ y 31.040€
2807918021,18 - 021,181,5,Entre 27.760€ y 31.040€
2807918022,18 - 022,181,1,Menos de 21.215€
2807918023,18 - 023,181,1,Menos de 21.215€
2807918024,18 - 024,181,5,Entre 27.760€ y 31.040€
2807918025,18 - 025,181,6,Entre 31.040€ y 34.950€
2807918026,18 - 026,182,2,Entre 21.215€ y 23.140€
2807918027,18 - 027,182,4,Entre 25.295€ y 27.760€
2807918028,18 - 028,182,7,Entre 34.950€ y 39.755€
2807918029,18 - 029,182,7,Entre 34.950€ y 39.755€
2807918030,18 - 030,182,6,Entre 31.040€ y 34.950€
2807918031,18 - 031,182,7,Entre 34.950€ y 39.755€
2807918032,18 - 032,182,6,Entre 31.040€ y 34.950€
2807918033,18 - 033,182,6,Entre 31.040€ y 34.950€
2807918034,18 - 034,182,6,Entre 31.040€ y 34.950€
2807918035,18 - 035,182,7,Entre 34.950€ y 39.755€
2807918036,18 - 036,182,6,Entre 31.040€ y 34.950€
