TIPO_ELECCION;ANIO;MES;VUELTA;COD_PROV;COD_MUN;DIST_ELEC;COD_CAND;VOTOS_CAND;CAND_OBTENIDOS
02;2016;06;1;01;001;99;000013;00000062;000
02;2016;06;1;01;001;99;000016;00000244;000
02;2016;06;1;01;001;99;000023;00000145;000
02;2016;06;1;01;001;99;000038;00000001;000
02;2016;06;1;01;001;99;000041;00000017;000
02;2016;06;1;01;001;99;000049;00000003;000
02;2016;06;1;01;001;99;000054;00000466;000
02;2016;06;1;01;001;99;000068;00000160;000
02;2016;06;1;01;001;99;000076;00000205;000
02;2016;06;1;01;001;99;000081;00000005;000
02;2016;06;1;01;001;99;000093;00000001;000
02;2016;06;1;01;001;99;000094;00000002;000
02;2016;06;1;01;002;99;000013;00000134;000
02;2016;06;1;01;002;99;000016;00001632;000
02;2016;06;1;01;002;99;000023;00000775;000
02;2016;06;1;01;002;99;000038;00000001;000
02;2016;06;1;01;002;99;000041;00000031;000
02;2016;06;1;01;002;99;000049;00000004;000
02;2016;06;1;01;002;99;000054;00001913;000
02;2016;06;1;01;002;99;000068;00000496;000
02;2016;06;1;01;002;99;000076;00000592;000
02;2016;06;1;01;002;99;000081;00000017;000
02;2016;06;1;01;002;99;000093;00000004;000
02;2016;06;1;01;002;99;000094;00000024;000
02;2016;06;1;01;003;99;000013;00000001;000
02;2016;06;1;01;003;99;000016;00000222;000
02;2016;06;1;01;003;99;000023;00000317;000
02;2016;06;1;01;003;99;000038;00000000;000
02;2016;06;1;01;003;99;000041;00000004;000
02;2016;06;1;01;003;99;000049;00000000;000
02;2016;06;1;01;003;99;000054;00000197;000
02;2016;06;1;01;003;99;000068;00000013;000
02;2016;06;1;01;003;99;000076;00000012;000
02;2016;06;1;01;003;99;000081;00000000;000
02;2016;06;1;01;003;99;000093;00000001;000
02;2016;06;1;01;003;99;000094;00000005;000
02;2016;06;1;01;004;99;000013;00000025;000
02;2016;06;1;01;004;99;000016;00000301;000
02;2016;06;1;01;004;99;000023;00000153;000
02;2016;06;1;01;004;99;000038;00000000;000
02;2016;06;1;01;004;99;000041;00000008;000
02;2016;06;1;01;004;99;000049;00000002;000
02;2016;06;1;01;004;99;000054;00000296;000
02;2016;06;1;01;004;99;000068;00000130;000
02;2016;06;1;01;004;99;000076;00000071;000
02;2016;06;1;01;004;99;000081;00000001;000
02;2016;06;1;01;004;99;000093;00000000;000
02;2016;06;1;01;004;99;000094;00000000;000
02;2016;06;1;01;006;99;000013;00000018;000
02;2016;06;1;01;006;99;000016;00000011;000
02;2016;06;1;01;006;99;000023;00000007;000
02;2016;06;1;01;006;99;000038;00000000;000
02;2016;06;1;01;006;99;000041;00000001;000
02;2016;06;1;01;006;99;000049;00000000;000
02;2016;06;1;01;006;99;000054;00000048;000
02;2016;06;1;01;006;99;000068;00000036;000
02;2016;06;1;01;006;99;000076;00000018;000
02;2016;06;1;01;006;99;000081;00000001;000
02;2016;06;1;01;006;99;000093;00000000;000
02;2016;06;1;01;006;99;000094;00000000;000
02;2016;06;1;01;008;99;000013;00000025;000
02;2016;06;1;01;008;99;000016;00000123;000
02;2016;06;1;01;008;99;000023;00000079;000
02;2016;06;1;01;008;99;000038;00000000;000
02;2016;06;1;01;008;99;000041;00000002;000
02;2016;06;1;01;008;99;000049;00000001;000
02;2016;06;1;01;008;99;000054;00000120;000
02;2016;06;1;01;008;99;000068;00000109;000
02;2016;06;1;01;008;99;000076;00000037;000
02;2016;06;1;01;008;99;000081;00000000;000
02;2016;06;1;01;008;99;000093;00000000;000
02;2016;06;1;01;008;99;000094;00000002;000
02;2016;06;1;01;009;99;000013;00000011;000
02;2016;06;1;01;009;99;000016;00000210;000
02;2016;06;1;01;009;99;000023;00000178;000
02;2016;06;1;01;009;99;000038;00000002;000
02;2016;06;1;01;009;99;000041;00000006;000
02;2016;06;1;01;009;99;000049;00000000;000
02;2016;06;1;01;009;99;000054;00000298;000
02;2016;06;1;01;009;99;000068;00000062;000
02;2016;06;1;01;009;99;000076;00000076;000
02;2016;06;1;01;009;99;000081;00000000;000
02;2016;06;1;01;009;99;000093;00000000;000
02;2016;06;1;01;009;99;000094;00000000;000
02;2016;06;1;01;010;99;000013;00000026;000
02;2016;06;1;01;010;99;000016;00000518;000
02;2016;06;1;01;010;99;000023;00000234;000
02;2016;06;1;01;010;99;000038;00000000;000
02;2016;06;1;01;010;99;000041;00000013;000
02;2016;06;1;01;010;99;000049;00000001;000
02;2016;06;1;01;010;99;000054;00000537;000
02;2016;06;1;01;010;99;000068;00000153;000
02;2016;06;1;01;010;99;000076;00000102;000
02;2016;06;1;01;010;99;000081;00000006;000
02;2016;06;1;01;010;99;000093;00000000;000
02;2016;06;1;01;010;99;000094;00000002;000
02;2016;06;1;01;011;99;000013;00000011;000
